id,text,obfuscatedText,mechanism,epsilon
1037798,who is robert gray,who is rust gray,DPMLM,50
1037798,who is robert gray,who is chrome gray,DPMLM,50
1037798,who is robert gray,who is matt gray,DPMLM,50
1037798,who is robert gray,who is paul gray,DPMLM,50
1037798,who is robert gray,who is raven gray,DPMLM,50
1037798,who is robert gray,who is cliff gray,DPMLM,50
1037798,who is robert gray,who is fox gray,DPMLM,50
1037798,who is robert gray,who is fools gray,DPMLM,50
1037798,who is robert gray,who is nt grey,DPMLM,50
1037798,who is robert gray,who is norwegian gray,DPMLM,50
1037798,who is robert gray,who is roger gray,DPMLM,50
1037798,who is robert gray,who is please gray,DPMLM,50
1037798,who is robert gray,who is ruby gray,DPMLM,50
1037798,who is robert gray,who is sunset gray,DPMLM,50
1037798,who is robert gray,who is furry gray,DPMLM,50
1037798,who is robert gray,who is cherry gray,DPMLM,50
1037798,who is robert gray,who is almond gray,DPMLM,50
1037798,who is robert gray,who is tiger gray,DPMLM,50
1037798,who is robert gray,who is raven gray,DPMLM,50
1037798,who is robert gray,who is not gray,DPMLM,50
1037798,who is robert gray,who is miner gray,DPMLM,50
1037798,who is robert gray,who is clifford gray,DPMLM,50
1037798,who is robert gray,who is wood gray,DPMLM,50
1037798,who is robert gray,who is painter gray,DPMLM,50
1037798,who is robert gray,who is troll gray,DPMLM,50
1037798,who is robert gray,who is amber gray,DPMLM,50
1037798,who is robert gray,who is hugo gray,DPMLM,50
1037798,who is robert gray,who is roth grey,DPMLM,50
1037798,who is robert gray,who is dash grey,DPMLM,50
1037798,who is robert gray,who is joshua gray,DPMLM,50
1037798,who is robert gray,who is cardinal gray,DPMLM,50
1037798,who is robert gray,who is infant gray,DPMLM,50
1037798,who is robert gray,who is cast gray,DPMLM,50
1037798,who is robert gray,who is raven gray,DPMLM,50
1037798,who is robert gray,who is brown gray,DPMLM,50
1037798,who is robert gray,who is gregory gray,DPMLM,50
1037798,who is robert gray,who is patrick gray,DPMLM,50
1037798,who is robert gray,who is brown gray,DPMLM,50
1037798,who is robert gray,who is raven gray,DPMLM,50
1037798,who is robert gray,who is coal white,DPMLM,50
1037798,who is robert gray,who is raven gray,DPMLM,50
1037798,who is robert gray,who is orange gray,DPMLM,50
1037798,who is robert gray,who is harold gray,DPMLM,50
1037798,who is robert gray,who is cycling gray,DPMLM,50
1037798,who is robert gray,who is raven gray,DPMLM,50
1037798,who is robert gray,who is michael gray,DPMLM,50
1037798,who is robert gray,who is baby gray,DPMLM,50
1037798,who is robert gray,who is raven gray,DPMLM,50
1037798,who is robert gray,who is fart gray,DPMLM,50
1037798,who is robert gray,who is beautiful gray,DPMLM,50
104861,cost of interior concrete flooring,installation of exterior pavement lumber,DPMLM,50
104861,cost of interior concrete flooring,purchase of inside cement floor,DPMLM,50
104861,cost of interior concrete flooring,construction of internal stone floor,DPMLM,50
104861,cost of interior concrete flooring,location of indoor concrete floor,DPMLM,50
104861,cost of interior concrete flooring,age of indoor ceramic floors,DPMLM,50
104861,cost of interior concrete flooring,example of interior concrete floors,DPMLM,50
104861,cost of interior concrete flooring,testing of inside stone floor,DPMLM,50
104861,cost of interior concrete flooring,picture of domestic concrete floors,DPMLM,50
104861,cost of interior concrete flooring,cost of internal cement floors,DPMLM,50
104861,cost of interior concrete flooring,top of internal vinyl floor,DPMLM,50
104861,cost of interior concrete flooring,list of internal concrete floor,DPMLM,50
104861,cost of interior concrete flooring,use of exterior pavement floor,DPMLM,50
104861,cost of interior concrete flooring,list of internal pavement floors,DPMLM,50
104861,cost of interior concrete flooring,site of interior concrete floors,DPMLM,50
104861,cost of interior concrete flooring,location of interior cement tiles,DPMLM,50
104861,cost of interior concrete flooring,design of internal gravel floors,DPMLM,50
104861,cost of interior concrete flooring,purchase of external pavement floors,DPMLM,50
104861,cost of interior concrete flooring,preview of interior concrete floors,DPMLM,50
104861,cost of interior concrete flooring,features of internal concrete floor,DPMLM,50
104861,cost of interior concrete flooring,performance of interior cement drilling,DPMLM,50
104861,cost of interior concrete flooring,history of exterior wood floor,DPMLM,50
104861,cost of interior concrete flooring,design of interior pavement floor,DPMLM,50
104861,cost of interior concrete flooring,examples of exterior wood floors,DPMLM,50
104861,cost of interior concrete flooring,installation of internal concrete floor,DPMLM,50
104861,cost of interior concrete flooring,summary of external cement floors,DPMLM,50
104861,cost of interior concrete flooring,condition of internal metal floors,DPMLM,50
104861,cost of interior concrete flooring,overview of exterior cement filling,DPMLM,50
104861,cost of interior concrete flooring,materials of external concrete floors,DPMLM,50
104861,cost of interior concrete flooring,introduction of external concrete covering,DPMLM,50
104861,cost of interior concrete flooring,examples of interior stone floors,DPMLM,50
104861,cost of interior concrete flooring,location of internal pavement floor,DPMLM,50
104861,cost of interior concrete flooring,location of domestic pavement ...,DPMLM,50
104861,cost of interior concrete flooring,features of interior concrete floor,DPMLM,50
104861,cost of interior concrete flooring,area of interior asphalt floors,DPMLM,50
104861,cost of interior concrete flooring,description of interior concrete ceiling,DPMLM,50
104861,cost of interior concrete flooring,application of exterior cement floors,DPMLM,50
104861,cost of interior concrete flooring,types of interior stone floors,DPMLM,50
104861,cost of interior concrete flooring,making of interior cement floors,DPMLM,50
104861,cost of interior concrete flooring,features of inside concrete coating,DPMLM,50
104861,cost of interior concrete flooring,installation of internal stone floor,DPMLM,50
104861,cost of interior concrete flooring,examples of exterior pavement floors,DPMLM,50
104861,cost of interior concrete flooring,usage of interior concrete floor,DPMLM,50
104861,cost of interior concrete flooring,introduction of interior pavement floor,DPMLM,50
104861,cost of interior concrete flooring,description of internal stone floor,DPMLM,50
104861,cost of interior concrete flooring,use of exterior cement wall,DPMLM,50
104861,cost of interior concrete flooring,design of outer pavement floor,DPMLM,50
104861,cost of interior concrete flooring,history of internal cement floor,DPMLM,50
104861,cost of interior concrete flooring,model of interior ceramic floors,DPMLM,50
104861,cost of interior concrete flooring,introduction of internal pavement ceiling,DPMLM,50
104861,cost of interior concrete flooring,review of indoor concrete floor,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the us' entry w,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the us tweet end w,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the us entry enter w,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the us ka import w,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the us logo entered w,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the us bitcoins go?,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the us finally entered w,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the us inhabit engage w,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the us enter enter first,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the me man leave w,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the me can end?,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the us branch exit w,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the me question enter the,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the me might enter w,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the me o entered w,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the us to entry w,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the me ist enters w,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the us ay enter w,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the us menu exit w,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the us sum enter w,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the me flag entered w,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the us … enter w,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the us team sit?,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the us can establish w,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the us logo win w,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the us u enter w,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the us name enter w,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the us account enter w,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the us ay enter w,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the us try exit?,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the us ary enter w,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the us ay begin?,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the me team entering w,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the us il entered w,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the us vim entering?,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the us lyn drink w,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the us team enter w,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the us text enter w,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the us platform go w,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the us man enters w,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the us statement enter w,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the us dom pour w,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the us account exit w,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the us robot enter w,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the us second enters?,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the us theme end?,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the us blog enter w,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the us desktop entry w,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the tags game entrance w,DPMLM,50
1063750,why did the us volunterilay enter ww1,why did the us tu enter w,DPMLM,50
1103812,who formed the commonwealth of independent states,who started the commonwealth of the states,DPMLM,50
1103812,who formed the commonwealth of independent states,who absorbed the commonwealth of independent nations,DPMLM,50
1103812,who formed the commonwealth of independent states,who constructed the commonwealth of dependent forces,DPMLM,50
1103812,who formed the commonwealth of independent states,who composed the commonwealth of isolated states,DPMLM,50
1103812,who formed the commonwealth of independent states,who called the federation of dependent states,DPMLM,50
1103812,who formed the commonwealth of independent states,who set the collection of independent democracies,DPMLM,50
1103812,who formed the commonwealth of independent states,who adopted the wealth of free state,DPMLM,50
1103812,who formed the commonwealth of independent states,who constituted the nation of independent states,DPMLM,50
1103812,who formed the commonwealth of independent states,who dissolved the wealth of associate nations,DPMLM,50
1103812,who formed the commonwealth of independent states,who defined the county of discrete areas,DPMLM,50
1103812,who formed the commonwealth of independent states,who forming the federation of independent islands,DPMLM,50
1103812,who formed the commonwealth of independent states,who launched the commonwealth of free governments,DPMLM,50
1103812,who formed the commonwealth of independent states,who constructed the wealth of free countries,DPMLM,50
1103812,who formed the commonwealth of independent states,who grew the wealth of independent governments,DPMLM,50
1103812,who formed the commonwealth of independent states,who is the commonwealth of independent regions,DPMLM,50
1103812,who formed the commonwealth of independent states,who settled the commonwealth of independently states,DPMLM,50
1103812,who formed the commonwealth of independent states,who incorporated the commonwealth of separate nations,DPMLM,50
1103812,who formed the commonwealth of independent states,who dissolved the commonwealth of two governments,DPMLM,50
1103812,who formed the commonwealth of independent states,who incorporated the nation of independent states,DPMLM,50
1103812,who formed the commonwealth of independent states,who registered the wealth of independence jurisdictions,DPMLM,50
1103812,who formed the commonwealth of independent states,who forms the commonwealth of independence cities,DPMLM,50
1103812,who formed the commonwealth of independent states,who merged the wealth of independent states,DPMLM,50
1103812,who formed the commonwealth of independent states,who raised the wealth of dependent schools,DPMLM,50
1103812,who formed the commonwealth of independent states,who formulated the commonwealth of unrelated countries,DPMLM,50
1103812,who formed the commonwealth of independent states,who divided the coalition of independence states,DPMLM,50
1103812,who formed the commonwealth of independent states,who constituted the wealth of independence territories,DPMLM,50
1103812,who formed the commonwealth of independent states,who drafted the wealth of independent provinces,DPMLM,50
1103812,who formed the commonwealth of independent states,who forms the commonwealth of free peoples,DPMLM,50
1103812,who formed the commonwealth of independent states,who formation the commonwealth of international counties,DPMLM,50
1103812,who formed the commonwealth of independent states,who governed the commonwealth of the states,DPMLM,50
1103812,who formed the commonwealth of independent states,who transformed the federation of independently governors,DPMLM,50
1103812,who formed the commonwealth of independent states,who merged the wealth of independent countries,DPMLM,50
1103812,who formed the commonwealth of independent states,who built the commonwealth of individual places,DPMLM,50
1103812,who formed the commonwealth of independent states,who represented the wealth of dependent provinces,DPMLM,50
1103812,who formed the commonwealth of independent states,who created the commonwealth of independence governments,DPMLM,50
1103812,who formed the commonwealth of independent states,who forming the wealth of dependent states,DPMLM,50
1103812,who formed the commonwealth of independent states,who developed the federation of independent peoples,DPMLM,50
1103812,who formed the commonwealth of independent states,who adopted the wealth of separate governments,DPMLM,50
1103812,who formed the commonwealth of independent states,who settled the federation of separate powers,DPMLM,50
