query_id,metric,value,epsilon,mechanism
23849,P@10,0.9,17.5,ContextualCMP
23849,R@100,0.26804123711340205,17.5,ContextualCMP
23849,nDCG@10,0.7415617884338109,17.5,ContextualCMP
42255,P@10,0.6,17.5,ContextualCMP
42255,R@100,1.0,17.5,ContextualCMP
42255,nDCG@10,0.916606061550117,17.5,ContextualCMP
47210,P@10,1.0,17.5,ContextualCMP
47210,R@100,0.7162162162162162,17.5,ContextualCMP
47210,nDCG@10,0.9253580059349009,17.5,ContextualCMP
67316,P@10,0.8,17.5,ContextualCMP
67316,R@100,0.5087719298245614,17.5,ContextualCMP
67316,nDCG@10,0.6965195858746334,17.5,ContextualCMP
118440,P@10,0.2,17.5,ContextualCMP
118440,R@100,0.04608294930875576,17.5,ContextualCMP
118440,nDCG@10,0.16499520019977962,17.5,ContextualCMP
121171,P@10,0.8,17.5,ContextualCMP
121171,R@100,0.31797235023041476,17.5,ContextualCMP
121171,nDCG@10,0.6425551250362546,17.5,ContextualCMP
135802,P@10,0.8,17.5,ContextualCMP
135802,R@100,0.47058823529411764,17.5,ContextualCMP
135802,nDCG@10,0.8166675604307144,17.5,ContextualCMP
141630,P@10,1.0,17.5,ContextualCMP
141630,R@100,0.5254237288135594,17.5,ContextualCMP
141630,nDCG@10,0.8053213358298442,17.5,ContextualCMP
156498,P@10,0.5,17.5,ContextualCMP
156498,R@100,0.9166666666666666,17.5,ContextualCMP
156498,nDCG@10,0.500388101013175,17.5,ContextualCMP
169208,P@10,0.9,17.5,ContextualCMP
169208,R@100,0.9166666666666666,17.5,ContextualCMP
169208,nDCG@10,0.8497739237409478,17.5,ContextualCMP
174463,P@10,0.6,17.5,ContextualCMP
174463,R@100,0.44680851063829785,17.5,ContextualCMP
174463,nDCG@10,0.4540149837811532,17.5,ContextualCMP
258062,P@10,0.7,17.5,ContextualCMP
258062,R@100,0.7692307692307693,17.5,ContextualCMP
258062,nDCG@10,0.6410972825422131,17.5,ContextualCMP
324585,P@10,0.9,17.5,ContextualCMP
324585,R@100,1.0,17.5,ContextualCMP
324585,nDCG@10,0.92663607790064,17.5,ContextualCMP
330975,P@10,0.9,17.5,ContextualCMP
330975,R@100,0.8,17.5,ContextualCMP
330975,nDCG@10,0.7903363564647747,17.5,ContextualCMP
332593,P@10,0.9,17.5,ContextualCMP
332593,R@100,0.6981132075471698,17.5,ContextualCMP
