query_id,metric,value,epsilon,mechanism
23849,P@10,1.0,17.5,VickreyCMP
23849,R@100,0.4536082474226804,17.5,VickreyCMP
23849,nDCG@10,0.7600848721460397,17.5,VickreyCMP
42255,P@10,0.7,17.5,VickreyCMP
42255,R@100,1.0,17.5,VickreyCMP
42255,nDCG@10,0.9892718137361929,17.5,VickreyCMP
47210,P@10,0.9,17.5,VickreyCMP
47210,R@100,0.8243243243243243,17.5,VickreyCMP
47210,nDCG@10,0.8789855630741368,17.5,VickreyCMP
67316,P@10,0.4,17.5,VickreyCMP
67316,R@100,0.24561403508771928,17.5,VickreyCMP
67316,nDCG@10,0.5288461421700297,17.5,VickreyCMP
118440,P@10,0.5,17.5,VickreyCMP
118440,R@100,0.05069124423963134,17.5,VickreyCMP
118440,nDCG@10,0.3697204548005711,17.5,VickreyCMP
121171,P@10,0.9,17.5,VickreyCMP
121171,R@100,0.391705069124424,17.5,VickreyCMP
121171,nDCG@10,0.659008919513108,17.5,VickreyCMP
135802,P@10,0.9,17.5,VickreyCMP
135802,R@100,0.8823529411764706,17.5,VickreyCMP
135802,nDCG@10,0.913994288493286,17.5,VickreyCMP
141630,P@10,1.0,17.5,VickreyCMP
141630,R@100,0.5,17.5,VickreyCMP
141630,nDCG@10,0.771766648622452,17.5,VickreyCMP
156498,P@10,0.6,17.5,VickreyCMP
156498,R@100,0.75,17.5,VickreyCMP
156498,nDCG@10,0.40326762330860183,17.5,VickreyCMP
169208,P@10,0.7,17.5,VickreyCMP
169208,R@100,0.8333333333333334,17.5,VickreyCMP
169208,nDCG@10,0.6719152892426122,17.5,VickreyCMP
174463,P@10,0.4,17.5,VickreyCMP
174463,R@100,0.48936170212765956,17.5,VickreyCMP
174463,nDCG@10,0.30438945162859865,17.5,VickreyCMP
258062,P@10,0.6,17.5,VickreyCMP
258062,R@100,0.6538461538461539,17.5,VickreyCMP
258062,nDCG@10,0.6936634693435663,17.5,VickreyCMP
324585,P@10,0.9,17.5,VickreyCMP
324585,R@100,1.0,17.5,VickreyCMP
324585,nDCG@10,0.92663607790064,17.5,VickreyCMP
330975,P@10,1.0,17.5,VickreyCMP
330975,R@100,0.8666666666666667,17.5,VickreyCMP
330975,nDCG@10,0.8257371462274593,17.5,VickreyCMP
332593,P@10,1.0,17.5,VickreyCMP
332593,R@100,0.6981132075471698,17.5,VickreyCMP
332593,nDCG@10,0.7603354747715712,17.5,VickreyCMP
336901,P@10,0.2,17.5,VickreyCMP
336901,R@100,1.0,17.5,VickreyCMP
336901,nDCG@10,0.6049306994552043,17.5,VickreyCMP
390360,P@10,0.4,17.5,VickreyCMP
390360,R@100,0.2857142857142857,17.5,VickreyCMP
390360,nDCG@10,0.45958832157024126,17.5,VickreyCMP
405163,P@10,0.0,17.5,VickreyCMP
405163,R@100,0.05084745762711865,17.5,VickreyCMP
405163,nDCG@10,0.0,17.5,VickreyCMP
555530,P@10,0.7,17.5,VickreyCMP
555530,R@100,0.2692307692307692,17.5,VickreyCMP
555530,nDCG@10,0.37072321312473777,17.5,VickreyCMP
583468,P@10,0.9,17.5,VickreyCMP
583468,R@100,0.6982758620689655,17.5,VickreyCMP
583468,nDCG@10,0.7706805925323346,17.5,VickreyCMP
640502,P@10,0.8,17.5,VickreyCMP
640502,R@100,0.20454545454545456,17.5,VickreyCMP
640502,nDCG@10,0.8042485875005451,17.5,VickreyCMP
673670,P@10,0.0,17.5,VickreyCMP
673670,R@100,0.0,17.5,VickreyCMP
673670,nDCG@10,0.0,17.5,VickreyCMP
701453,P@10,1.0,17.5,VickreyCMP
701453,R@100,0.5952380952380952,17.5,VickreyCMP
701453,nDCG@10,0.975184852709623,17.5,VickreyCMP
730539,P@10,0.7,17.5,VickreyCMP
730539,R@100,0.5769230769230769,17.5,VickreyCMP
730539,nDCG@10,0.6072724475016283,17.5,VickreyCMP
768208,P@10,0.6,17.5,VickreyCMP
768208,R@100,0.3023255813953488,17.5,VickreyCMP
768208,nDCG@10,0.5574429242243857,17.5,VickreyCMP
877809,P@10,0.9,17.5,VickreyCMP
877809,R@100,0.5060240963855421,17.5,VickreyCMP
877809,nDCG@10,0.7716805143557648,17.5,VickreyCMP
911232,P@10,0.5,17.5,VickreyCMP
911232,R@100,0.8333333333333334,17.5,VickreyCMP
911232,nDCG@10,0.6620949456379317,17.5,VickreyCMP
914916,P@10,0.9,17.5,VickreyCMP
914916,R@100,0.49242424242424243,17.5,VickreyCMP
914916,nDCG@10,0.8519675573955814,17.5,VickreyCMP
938400,P@10,1.0,17.5,VickreyCMP
938400,R@100,0.5686274509803921,17.5,VickreyCMP
938400,nDCG@10,0.73033336179633,17.5,VickreyCMP
940547,P@10,0.9,17.5,VickreyCMP
940547,R@100,0.4158415841584158,17.5,VickreyCMP
940547,nDCG@10,0.4668728882728055,17.5,VickreyCMP
997622,P@10,1.0,17.5,VickreyCMP
997622,R@100,0.7647058823529411,17.5,VickreyCMP
997622,nDCG@10,0.8463507934928551,17.5,VickreyCMP
1030303,P@10,0.5,17.5,VickreyCMP
1030303,R@100,0.8333333333333334,17.5,VickreyCMP
1030303,nDCG@10,0.8104873262757728,17.5,VickreyCMP
1037496,P@10,1.0,17.5,VickreyCMP
1037496,R@100,0.25925925925925924,17.5,VickreyCMP
1037496,nDCG@10,0.9313758769972873,17.5,VickreyCMP
1043135,P@10,0.5,17.5,VickreyCMP
1043135,R@100,0.7272727272727273,17.5,VickreyCMP
1043135,nDCG@10,0.4749648972787949,17.5,VickreyCMP
1051399,P@10,0.9,17.5,VickreyCMP
1051399,R@100,0.25925925925925924,17.5,VickreyCMP
1051399,nDCG@10,0.8528442104181847,17.5,VickreyCMP
1064670,P@10,0.8,17.5,VickreyCMP
1064670,R@100,0.5238095238095238,17.5,VickreyCMP
1064670,nDCG@10,0.8059946321749737,17.5,VickreyCMP
1071750,P@10,0.9,17.5,VickreyCMP
1071750,R@100,0.9444444444444444,17.5,VickreyCMP
1071750,nDCG@10,0.4916050029032222,17.5,VickreyCMP
