query_id,metric,value,epsilon,mechanism
23849,P@10,1.0,12.5,VickreyMhl
23849,R@100,0.30927835051546393,12.5,VickreyMhl
23849,nDCG@10,0.7686992054208689,12.5,VickreyMhl
42255,P@10,0.7,12.5,VickreyMhl
42255,R@100,1.0,12.5,VickreyMhl
42255,nDCG@10,0.9892718137361929,12.5,VickreyMhl
47210,P@10,0.9,12.5,VickreyMhl
47210,R@100,0.3918918918918919,12.5,VickreyMhl
47210,nDCG@10,0.8966245464937113,12.5,VickreyMhl
67316,P@10,0.4,12.5,VickreyMhl
67316,R@100,0.22807017543859648,12.5,VickreyMhl
67316,nDCG@10,0.5288461421700297,12.5,VickreyMhl
118440,P@10,0.5,12.5,VickreyMhl
118440,R@100,0.05069124423963134,12.5,VickreyMhl
118440,nDCG@10,0.3697204548005711,12.5,VickreyMhl
121171,P@10,0.9,12.5,VickreyMhl
121171,R@100,0.391705069124424,12.5,VickreyMhl
121171,nDCG@10,0.659008919513108,12.5,VickreyMhl
135802,P@10,0.2,12.5,VickreyMhl
135802,R@100,0.11764705882352941,12.5,VickreyMhl
135802,nDCG@10,0.3707478452402588,12.5,VickreyMhl
141630,P@10,0.1,12.5,VickreyMhl
141630,R@100,0.00847457627118644,12.5,VickreyMhl
141630,nDCG@10,0.05886610400269325,12.5,VickreyMhl
156498,P@10,0.6,12.5,VickreyMhl
156498,R@100,0.6666666666666666,12.5,VickreyMhl
156498,nDCG@10,0.40326762330860183,12.5,VickreyMhl
169208,P@10,0.7,12.5,VickreyMhl
169208,R@100,0.8333333333333334,12.5,VickreyMhl
169208,nDCG@10,0.6719152892426122,12.5,VickreyMhl
174463,P@10,0.0,12.5,VickreyMhl
174463,R@100,0.0,12.5,VickreyMhl
174463,nDCG@10,0.0,12.5,VickreyMhl
258062,P@10,0.0,12.5,VickreyMhl
258062,R@100,0.0,12.5,VickreyMhl
258062,nDCG@10,0.0,12.5,VickreyMhl
324585,P@10,0.6,12.5,VickreyMhl
324585,R@100,0.5454545454545454,12.5,VickreyMhl
324585,nDCG@10,0.727329844310522,12.5,VickreyMhl
330975,P@10,1.0,12.5,VickreyMhl
330975,R@100,0.8166666666666667,12.5,VickreyMhl
330975,nDCG@10,0.8257371462274593,12.5,VickreyMhl
332593,P@10,1.0,12.5,VickreyMhl
332593,R@100,0.5849056603773585,12.5,VickreyMhl
332593,nDCG@10,0.7603354747715712,12.5,VickreyMhl
336901,P@10,0.2,12.5,VickreyMhl
