query_id,metric,value,epsilon,mechanism
1,P@10,0.0,17.5,CMP
1,R@100,0.012658227848101266,17.5,CMP
1,nDCG@10,0.0,17.5,CMP
2,P@10,0.4,17.5,CMP
2,R@100,0.16831683168316833,17.5,CMP
2,nDCG@10,0.37004428214682733,17.5,CMP
3,P@10,0.3,17.5,CMP
3,R@100,0.06629834254143646,17.5,CMP
3,nDCG@10,0.18925045943329133,17.5,CMP
4,P@10,0.2,17.5,CMP
4,R@100,0.13333333333333333,17.5,CMP
4,nDCG@10,0.22400556151517553,17.5,CMP
5,P@10,0.0,17.5,CMP
5,R@100,0.041666666666666664,17.5,CMP
5,nDCG@10,0.0,17.5,CMP
6,P@10,0.0,17.5,CMP
6,R@100,0.0,17.5,CMP
6,nDCG@10,0.0,17.5,CMP
7,P@10,0.6,17.5,CMP
7,R@100,0.21739130434782608,17.5,CMP
7,nDCG@10,0.3482095134374321,17.5,CMP
8,P@10,0.2,17.5,CMP
8,R@100,0.14285714285714285,17.5,CMP
8,nDCG@10,0.28371255449703187,17.5,CMP
9,P@10,0.1,17.5,CMP
9,R@100,0.008695652173913044,17.5,CMP
9,nDCG@10,0.11004588314904008,17.5,CMP
10,P@10,0.0,17.5,CMP
10,R@100,0.0,17.5,CMP
10,nDCG@10,0.0,17.5,CMP
11,P@10,0.4,17.5,CMP
11,R@100,0.10810810810810811,17.5,CMP
11,nDCG@10,0.2676271583875319,17.5,CMP
12,P@10,0.3,17.5,CMP
12,R@100,0.01171875,17.5,CMP
12,nDCG@10,0.1718483456960727,17.5,CMP
13,P@10,0.1,17.5,CMP
13,R@100,0.16666666666666666,17.5,CMP
13,nDCG@10,0.07336392209936005,17.5,CMP
14,P@10,0.0,17.5,CMP
14,R@100,0.0,17.5,CMP
14,nDCG@10,0.0,17.5,CMP
15,P@10,0.3,17.5,CMP
15,R@100,0.1111111111111111,17.5,CMP
15,nDCG@10,0.15891956289064524,17.5,CMP
16,P@10,0.6,17.5,CMP
16,R@100,0.17006802721088435,17.5,CMP
16,nDCG@10,0.5608832408213127,17.5,CMP
17,P@10,0.0,17.5,CMP
17,R@100,0.0,17.5,CMP
17,nDCG@10,0.0,17.5,CMP
18,P@10,0.0,17.5,CMP
18,R@100,0.0,17.5,CMP
18,nDCG@10,0.0,17.5,CMP
19,P@10,0.0,17.5,CMP
19,R@100,0.0,17.5,CMP
19,nDCG@10,0.0,17.5,CMP
20,P@10,0.3,17.5,CMP
20,R@100,0.12931034482758622,17.5,CMP
20,nDCG@10,0.17244657047415124,17.5,CMP
21,P@10,0.6,17.5,CMP
21,R@100,0.2875,17.5,CMP
21,nDCG@10,0.4996805452188857,17.5,CMP
22,P@10,0.8,17.5,CMP
22,R@100,0.14761904761904762,17.5,CMP
22,nDCG@10,0.5864305367450019,17.5,CMP
23,P@10,0.7,17.5,CMP
23,R@100,0.3227848101265823,17.5,CMP
23,nDCG@10,0.39427486044279786,17.5,CMP
24,P@10,0.8,17.5,CMP
24,R@100,0.34615384615384615,17.5,CMP
24,nDCG@10,0.6356249416863219,17.5,CMP
25,P@10,0.0,17.5,CMP
25,R@100,0.125,17.5,CMP
25,nDCG@10,0.0,17.5,CMP
26,P@10,0.5,17.5,CMP
26,R@100,0.1702127659574468,17.5,CMP
26,nDCG@10,0.3210933633344505,17.5,CMP
27,P@10,0.5,17.5,CMP
27,R@100,0.3103448275862069,17.5,CMP
27,nDCG@10,0.2173149287966381,17.5,CMP
28,P@10,0.0,17.5,CMP
28,R@100,0.0,17.5,CMP
28,nDCG@10,0.0,17.5,CMP
29,P@10,0.0,17.5,CMP
29,R@100,0.0,17.5,CMP
29,nDCG@10,0.0,17.5,CMP
30,P@10,0.2,17.5,CMP
30,R@100,0.03636363636363636,17.5,CMP
30,nDCG@10,0.1041468329051659,17.5,CMP
31,P@10,0.4,17.5,CMP
31,R@100,0.11594202898550725,17.5,CMP
31,nDCG@10,0.456899187845258,17.5,CMP
32,P@10,0.8,17.5,CMP
