query_id,metric,value,epsilon,mechanism
1,P@10,0.0,20,CMP
1,R@100,0.012658227848101266,20,CMP
1,nDCG@10,0.0,20,CMP
2,P@10,0.4,20,CMP
2,R@100,0.16831683168316833,20,CMP
2,nDCG@10,0.37004428214682733,20,CMP
3,P@10,0.3,20,CMP
3,R@100,0.06629834254143646,20,CMP
3,nDCG@10,0.18925045943329133,20,CMP
4,P@10,0.2,20,CMP
4,R@100,0.13333333333333333,20,CMP
4,nDCG@10,0.22400556151517553,20,CMP
5,P@10,0.0,20,CMP
5,R@100,0.0,20,CMP
5,nDCG@10,0.0,20,CMP
6,P@10,0.0,20,CMP
6,R@100,0.0,20,CMP
6,nDCG@10,0.0,20,CMP
7,P@10,0.6,20,CMP
7,R@100,0.21739130434782608,20,CMP
7,nDCG@10,0.3482095134374321,20,CMP
8,P@10,0.2,20,CMP
8,R@100,0.14285714285714285,20,CMP
8,nDCG@10,0.28371255449703187,20,CMP
9,P@10,0.1,20,CMP
9,R@100,0.008695652173913044,20,CMP
9,nDCG@10,0.11004588314904008,20,CMP
10,P@10,0.0,20,CMP
10,R@100,0.0,20,CMP
10,nDCG@10,0.0,20,CMP
11,P@10,0.4,20,CMP
11,R@100,0.11711711711711711,20,CMP
11,nDCG@10,0.2676271583875319,20,CMP
12,P@10,0.4,20,CMP
12,R@100,0.015625,20,CMP
12,nDCG@10,0.2394018340576072,20,CMP
13,P@10,0.2,20,CMP
13,R@100,0.20833333333333334,20,CMP
13,nDCG@10,0.10517431619883591,20,CMP
14,P@10,0.0,20,CMP
14,R@100,0.047619047619047616,20,CMP
14,nDCG@10,0.0,20,CMP
15,P@10,0.3,20,CMP
15,R@100,0.1111111111111111,20,CMP
15,nDCG@10,0.15891956289064524,20,CMP
16,P@10,0.6,20,CMP
16,R@100,0.17006802721088435,20,CMP
16,nDCG@10,0.5608832408213127,20,CMP
17,P@10,0.0,20,CMP
17,R@100,0.0,20,CMP
17,nDCG@10,0.0,20,CMP
18,P@10,0.0,20,CMP
18,R@100,0.0,20,CMP
18,nDCG@10,0.0,20,CMP
19,P@10,0.0,20,CMP
19,R@100,0.0,20,CMP
19,nDCG@10,0.0,20,CMP
20,P@10,0.3,20,CMP
20,R@100,0.12931034482758622,20,CMP
20,nDCG@10,0.17244657047415124,20,CMP
21,P@10,0.6,20,CMP
21,R@100,0.3,20,CMP
21,nDCG@10,0.4996805452188857,20,CMP
22,P@10,0.8,20,CMP
22,R@100,0.14285714285714285,20,CMP
22,nDCG@10,0.5864305367450019,20,CMP
23,P@10,0.7,20,CMP
23,R@100,0.3227848101265823,20,CMP
23,nDCG@10,0.39427486044279786,20,CMP
24,P@10,0.8,20,CMP
24,R@100,0.34615384615384615,20,CMP
24,nDCG@10,0.6356249416863219,20,CMP
25,P@10,0.0,20,CMP
25,R@100,0.125,20,CMP
25,nDCG@10,0.0,20,CMP
26,P@10,0.3,20,CMP
26,R@100,0.10638297872340426,20,CMP
26,nDCG@10,0.2345000466603374,20,CMP
27,P@10,0.5,20,CMP
27,R@100,0.3103448275862069,20,CMP
27,nDCG@10,0.2173149287966381,20,CMP
28,P@10,0.0,20,CMP
28,R@100,0.0,20,CMP
28,nDCG@10,0.0,20,CMP
29,P@10,0.0,20,CMP
29,R@100,0.023255813953488372,20,CMP
29,nDCG@10,0.0,20,CMP
30,P@10,0.1,20,CMP
30,R@100,0.030303030303030304,20,CMP
30,nDCG@10,0.05502294157452004,20,CMP
31,P@10,0.4,20,CMP
31,R@100,0.13043478260869565,20,CMP
31,nDCG@10,0.456899187845258,20,CMP
32,P@10,0.8,20,CMP
32,R@100,0.11895161290322581,20,CMP
32,nDCG@10,0.42271283021080086,20,CMP
33,P@10,0.1,20,CMP
33,R@100,0.0625,20,CMP
33,nDCG@10,0.06943122193677727,20,CMP
34,P@10,0.1,20,CMP
34,R@100,0.22580645161290322,20,CMP
34,nDCG@10,0.07336392209936005,20,CMP
35,P@10,0.9,20,CMP
35,R@100,0.13653136531365315,20,CMP
35,nDCG@10,0.45260581781522463,20,CMP
36,P@10,0.1,20,CMP
36,R@100,0.007874015748031496,20,CMP
36,nDCG@10,0.06943122193677727,20,CMP
37,P@10,0.3,20,CMP
37,R@100,0.28859060402684567,20,CMP
37,nDCG@10,0.12309285273278041,20,CMP
38,P@10,0.0,20,CMP
38,R@100,0.01182033096926714,20,CMP
38,nDCG@10,0.0,20,CMP
39,P@10,0.0,20,CMP
39,R@100,0.0031545741324921135,20,CMP
39,nDCG@10,0.0,20,CMP
40,P@10,0.2,20,CMP
40,R@100,0.12274368231046931,20,CMP
40,nDCG@10,0.2674859484828555,20,CMP
41,P@10,1.0,20,CMP
41,R@100,0.13402061855670103,20,CMP
41,nDCG@10,0.8202957064515055,20,CMP
42,P@10,0.8,20,CMP
42,R@100,0.05738880918220947,20,CMP
42,nDCG@10,0.5335367251808844,20,CMP
43,P@10,0.2,20,CMP
43,R@100,0.020512820512820513,20,CMP
43,nDCG@10,0.1244541635112973,20,CMP
44,P@10,0.6,20,CMP
44,R@100,0.05546995377503852,20,CMP
44,nDCG@10,0.2962923166182122,20,CMP
45,P@10,0.0,20,CMP
45,R@100,0.00641025641025641,20,CMP
45,nDCG@10,0.0,20,CMP
46,P@10,0.1,20,CMP
46,R@100,0.01015228426395939,20,CMP
46,nDCG@10,0.039199134489337664,20,CMP
47,P@10,0.3,20,CMP
47,R@100,0.0547945205479452,20,CMP
47,nDCG@10,0.31488013066763093,20,CMP
48,P@10,0.6,20,CMP
48,R@100,0.1870967741935484,20,CMP
48,nDCG@10,0.48882922182497546,20,CMP
49,P@10,0.7,20,CMP
49,R@100,0.1917808219178082,20,CMP
49,nDCG@10,0.5495919008433187,20,CMP
50,P@10,0.5,20,CMP
50,R@100,0.0695364238410596,20,CMP
50,nDCG@10,0.3359783036320114,20,CMP
