query_id,metric,value,epsilon,mechanism
1,P@10,0.1,17.5,ContextualCMP
1,R@100,0.012658227848101266,17.5,ContextualCMP
1,nDCG@10,0.11004588314904008,17.5,ContextualCMP
2,P@10,0.3,17.5,ContextualCMP
2,R@100,0.1188118811881188,17.5,ContextualCMP
2,nDCG@10,0.3242385992032461,17.5,ContextualCMP
3,P@10,0.2,17.5,ContextualCMP
3,R@100,0.08839779005524862,17.5,ContextualCMP
3,nDCG@10,0.07925351987049051,17.5,ContextualCMP
4,P@10,0.0,17.5,ContextualCMP
4,R@100,0.06666666666666667,17.5,ContextualCMP
4,nDCG@10,0.0,17.5,ContextualCMP
5,P@10,0.0,17.5,ContextualCMP
5,R@100,0.0,17.5,ContextualCMP
5,nDCG@10,0.0,17.5,ContextualCMP
6,P@10,1.0,17.5,ContextualCMP
6,R@100,0.3723404255319149,17.5,ContextualCMP
6,nDCG@10,0.5331271117271945,17.5,ContextualCMP
7,P@10,0.7,17.5,ContextualCMP
7,R@100,0.21739130434782608,17.5,ContextualCMP
7,nDCG@10,0.41183030163638384,17.5,ContextualCMP
8,P@10,0.3,17.5,ContextualCMP
8,R@100,0.14285714285714285,17.5,ContextualCMP
8,nDCG@10,0.3499667779514209,17.5,ContextualCMP
9,P@10,0.4,17.5,ContextualCMP
9,R@100,0.09565217391304348,17.5,ContextualCMP
9,nDCG@10,0.1985960974317008,17.5,ContextualCMP
10,P@10,0.1,17.5,ContextualCMP
10,R@100,0.25,17.5,ContextualCMP
10,nDCG@10,0.2807721888661444,17.5,ContextualCMP
11,P@10,0.2,17.5,ContextualCMP
11,R@100,0.06306306306306306,17.5,ContextualCMP
11,nDCG@10,0.1467278441987201,17.5,ContextualCMP
12,P@10,0.0,17.5,ContextualCMP
12,R@100,0.0,17.5,ContextualCMP
12,nDCG@10,0.0,17.5,ContextualCMP
13,P@10,0.1,17.5,ContextualCMP
13,R@100,0.041666666666666664,17.5,ContextualCMP
13,nDCG@10,0.08514311764162098,17.5,ContextualCMP
14,P@10,0.1,17.5,ContextualCMP
14,R@100,0.14285714285714285,17.5,ContextualCMP
14,nDCG@10,0.03712651420061503,17.5,ContextualCMP
15,P@10,0.1,17.5,ContextualCMP
15,R@100,0.011111111111111112,17.5,ContextualCMP
15,nDCG@10,0.04257155882081049,17.5,ContextualCMP
16,P@10,0.7,17.5,ContextualCMP
16,R@100,0.17687074829931973,17.5,ContextualCMP
16,nDCG@10,0.6277870967292746,17.5,ContextualCMP
17,P@10,0.0,17.5,ContextualCMP
17,R@100,0.0,17.5,ContextualCMP
17,nDCG@10,0.0,17.5,ContextualCMP
18,P@10,0.0,17.5,ContextualCMP
18,R@100,1.0,17.5,ContextualCMP
18,nDCG@10,0.0,17.5,ContextualCMP
19,P@10,0.1,17.5,ContextualCMP
19,R@100,1.0,17.5,ContextualCMP
19,nDCG@10,0.3562071871080222,17.5,ContextualCMP
20,P@10,0.3,17.5,ContextualCMP
20,R@100,0.12931034482758622,17.5,ContextualCMP
20,nDCG@10,0.17244657047415124,17.5,ContextualCMP
21,P@10,0.5,17.5,ContextualCMP
21,R@100,0.1125,17.5,ContextualCMP
21,nDCG@10,0.4213556995468587,17.5,ContextualCMP
22,P@10,0.7,17.5,ContextualCMP
22,R@100,0.09523809523809523,17.5,ContextualCMP
22,nDCG@10,0.4951480781116973,17.5,ContextualCMP
23,P@10,0.6,17.5,ContextualCMP
23,R@100,0.24050632911392406,17.5,ContextualCMP
23,nDCG@10,0.3300792533881373,17.5,ContextualCMP
24,P@10,0.7,17.5,ContextualCMP
24,R@100,0.34615384615384615,17.5,ContextualCMP
24,nDCG@10,0.5661937197495446,17.5,ContextualCMP
25,P@10,0.0,17.5,ContextualCMP
25,R@100,0.125,17.5,ContextualCMP
25,nDCG@10,0.0,17.5,ContextualCMP
26,P@10,0.3,17.5,ContextualCMP
26,R@100,0.10638297872340426,17.5,ContextualCMP
26,nDCG@10,0.20764038354437062,17.5,ContextualCMP
27,P@10,0.3,17.5,ContextualCMP
27,R@100,0.27586206896551724,17.5,ContextualCMP
27,nDCG@10,0.13909908480897545,17.5,ContextualCMP
28,P@10,0.0,17.5,ContextualCMP
28,R@100,0.07692307692307693,17.5,ContextualCMP
28,nDCG@10,0.0,17.5,ContextualCMP
29,P@10,0.0,17.5,ContextualCMP
29,R@100,0.046511627906976744,17.5,ContextualCMP
29,nDCG@10,0.0,17.5,ContextualCMP
30,P@10,0.1,17.5,ContextualCMP
30,R@100,0.01818181818181818,17.5,ContextualCMP
30,nDCG@10,0.06943122193677727,17.5,ContextualCMP
31,P@10,0.4,17.5,ContextualCMP
31,R@100,0.12318840579710146,17.5,ContextualCMP
31,nDCG@10,0.4595326231006953,17.5,ContextualCMP
32,P@10,0.8,17.5,ContextualCMP
32,R@100,0.10887096774193548,17.5,ContextualCMP
32,nDCG@10,0.41592385676554466,17.5,ContextualCMP
33,P@10,0.4,17.5,ContextualCMP
33,R@100,0.078125,17.5,ContextualCMP
33,nDCG@10,0.32628411331784235,17.5,ContextualCMP
