query_id,metric,value,epsilon,mechanism
1,P@10,0.1,30,ContextualCMP
1,R@100,0.012658227848101266,30,ContextualCMP
1,nDCG@10,0.11004588314904008,30,ContextualCMP
2,P@10,0.3,30,ContextualCMP
2,R@100,0.1188118811881188,30,ContextualCMP
2,nDCG@10,0.3242385992032461,30,ContextualCMP
3,P@10,0.2,30,ContextualCMP
3,R@100,0.09392265193370165,30,ContextualCMP
3,nDCG@10,0.07569867054800501,30,ContextualCMP
4,P@10,0.0,30,ContextualCMP
4,R@100,0.0,30,ContextualCMP
4,nDCG@10,0.0,30,ContextualCMP
5,P@10,0.0,30,ContextualCMP
5,R@100,0.0,30,ContextualCMP
5,nDCG@10,0.0,30,ContextualCMP
6,P@10,0.1,30,ContextualCMP
6,R@100,0.010638297872340425,30,ContextualCMP
6,nDCG@10,0.11004588314904008,30,ContextualCMP
7,P@10,0.8,30,ContextualCMP
7,R@100,0.20869565217391303,30,ContextualCMP
7,nDCG@10,0.5144624963066654,30,ContextualCMP
8,P@10,0.3,30,ContextualCMP
8,R@100,0.14285714285714285,30,ContextualCMP
8,nDCG@10,0.3499667779514209,30,ContextualCMP
9,P@10,0.4,30,ContextualCMP
9,R@100,0.09565217391304348,30,ContextualCMP
9,nDCG@10,0.1985960974317008,30,ContextualCMP
10,P@10,0.1,30,ContextualCMP
10,R@100,0.25,30,ContextualCMP
10,nDCG@10,0.2807721888661444,30,ContextualCMP
11,P@10,0.1,30,ContextualCMP
11,R@100,0.036036036036036036,30,ContextualCMP
11,nDCG@10,0.04257155882081049,30,ContextualCMP
12,P@10,0.0,30,ContextualCMP
12,R@100,0.0,30,ContextualCMP
12,nDCG@10,0.0,30,ContextualCMP
13,P@10,0.1,30,ContextualCMP
13,R@100,0.041666666666666664,30,ContextualCMP
13,nDCG@10,0.09478836436955078,30,ContextualCMP
14,P@10,0.1,30,ContextualCMP
14,R@100,0.14285714285714285,30,ContextualCMP
14,nDCG@10,0.045528035918548065,30,ContextualCMP
15,P@10,0.1,30,ContextualCMP
15,R@100,0.011111111111111112,30,ContextualCMP
15,nDCG@10,0.04257155882081049,30,ContextualCMP
16,P@10,0.7,30,ContextualCMP
16,R@100,0.16326530612244897,30,ContextualCMP
16,nDCG@10,0.6277870967292746,30,ContextualCMP
17,P@10,0.0,30,ContextualCMP
17,R@100,0.0,30,ContextualCMP
17,nDCG@10,0.0,30,ContextualCMP
18,P@10,0.0,30,ContextualCMP
18,R@100,1.0,30,ContextualCMP
18,nDCG@10,0.0,30,ContextualCMP
19,P@10,0.0,30,ContextualCMP
19,R@100,0.0,30,ContextualCMP
19,nDCG@10,0.0,30,ContextualCMP
20,P@10,0.3,30,ContextualCMP
20,R@100,0.12931034482758622,30,ContextualCMP
20,nDCG@10,0.17244657047415124,30,ContextualCMP
21,P@10,0.5,30,ContextualCMP
21,R@100,0.1125,30,ContextualCMP
21,nDCG@10,0.4213556995468587,30,ContextualCMP
22,P@10,0.8,30,ContextualCMP
22,R@100,0.10476190476190476,30,ContextualCMP
22,nDCG@10,0.5327587133598409,30,ContextualCMP
23,P@10,0.6,30,ContextualCMP
23,R@100,0.24050632911392406,30,ContextualCMP
23,nDCG@10,0.3300792533881373,30,ContextualCMP
24,P@10,0.7,30,ContextualCMP
24,R@100,0.34615384615384615,30,ContextualCMP
24,nDCG@10,0.5661937197495446,30,ContextualCMP
25,P@10,0.0,30,ContextualCMP
25,R@100,0.125,30,ContextualCMP
25,nDCG@10,0.0,30,ContextualCMP
26,P@10,0.0,30,ContextualCMP
26,R@100,0.0,30,ContextualCMP
26,nDCG@10,0.0,30,ContextualCMP
27,P@10,0.3,30,ContextualCMP
27,R@100,0.27586206896551724,30,ContextualCMP
27,nDCG@10,0.13909908480897545,30,ContextualCMP
28,P@10,0.0,30,ContextualCMP
28,R@100,0.07692307692307693,30,ContextualCMP
28,nDCG@10,0.0,30,ContextualCMP
29,P@10,0.0,30,ContextualCMP
29,R@100,0.046511627906976744,30,ContextualCMP
29,nDCG@10,0.0,30,ContextualCMP
30,P@10,0.1,30,ContextualCMP
30,R@100,0.012121212121212121,30,ContextualCMP
30,nDCG@10,0.04739418218477539,30,ContextualCMP
