query_id,metric,value,epsilon,mechanism
1,P@10,0.2,17.5,ContextualMhl
1,R@100,0.02531645569620253,17.5,ContextualMhl
1,nDCG@10,0.1467278441987201,17.5,ContextualMhl
2,P@10,0.3,17.5,ContextualMhl
2,R@100,0.1188118811881188,17.5,ContextualMhl
2,nDCG@10,0.3242385992032461,17.5,ContextualMhl
3,P@10,0.2,17.5,ContextualMhl
3,R@100,0.08839779005524862,17.5,ContextualMhl
3,nDCG@10,0.07728716978919913,17.5,ContextualMhl
4,P@10,0.0,17.5,ContextualMhl
4,R@100,0.06666666666666667,17.5,ContextualMhl
4,nDCG@10,0.0,17.5,ContextualMhl
5,P@10,0.0,17.5,ContextualMhl
5,R@100,0.041666666666666664,17.5,ContextualMhl
5,nDCG@10,0.0,17.5,ContextualMhl
6,P@10,1.0,17.5,ContextualMhl
6,R@100,0.3723404255319149,17.5,ContextualMhl
6,nDCG@10,0.5331271117271945,17.5,ContextualMhl
7,P@10,0.7,17.5,ContextualMhl
7,R@100,0.22608695652173913,17.5,ContextualMhl
7,nDCG@10,0.41183030163638384,17.5,ContextualMhl
8,P@10,0.3,17.5,ContextualMhl
8,R@100,0.14285714285714285,17.5,ContextualMhl
8,nDCG@10,0.3499667779514209,17.5,ContextualMhl
9,P@10,0.6,17.5,ContextualMhl
9,R@100,0.12173913043478261,17.5,ContextualMhl
9,nDCG@10,0.2495133663253691,17.5,ContextualMhl
10,P@10,0.1,17.5,ContextualMhl
10,R@100,0.25,17.5,ContextualMhl
10,nDCG@10,0.2807721888661444,17.5,ContextualMhl
11,P@10,0.2,17.5,ContextualMhl
11,R@100,0.06306306306306306,17.5,ContextualMhl
11,nDCG@10,0.14476149411742872,17.5,ContextualMhl
12,P@10,0.0,17.5,ContextualMhl
12,R@100,0.0,17.5,ContextualMhl
12,nDCG@10,0.0,17.5,ContextualMhl
13,P@10,0.2,17.5,ContextualMhl
13,R@100,0.08333333333333333,17.5,ContextualMhl
13,nDCG@10,0.11682540412155266,17.5,ContextualMhl
14,P@10,0.1,17.5,ContextualMhl
14,R@100,0.19047619047619047,17.5,ContextualMhl
14,nDCG@10,0.04192140603820587,17.5,ContextualMhl
15,P@10,0.1,17.5,ContextualMhl
15,R@100,0.011111111111111112,17.5,ContextualMhl
15,nDCG@10,0.04257155882081049,17.5,ContextualMhl
16,P@10,0.7,17.5,ContextualMhl
16,R@100,0.16326530612244897,17.5,ContextualMhl
16,nDCG@10,0.6277870967292746,17.5,ContextualMhl
17,P@10,0.0,17.5,ContextualMhl
17,R@100,0.0,17.5,ContextualMhl
17,nDCG@10,0.0,17.5,ContextualMhl
18,P@10,0.0,17.5,ContextualMhl
18,R@100,1.0,17.5,ContextualMhl
18,nDCG@10,0.0,17.5,ContextualMhl
19,P@10,0.1,17.5,ContextualMhl
19,R@100,1.0,17.5,ContextualMhl
19,nDCG@10,0.3562071871080222,17.5,ContextualMhl
20,P@10,0.3,17.5,ContextualMhl
20,R@100,0.12931034482758622,17.5,ContextualMhl
20,nDCG@10,0.17244657047415124,17.5,ContextualMhl
21,P@10,0.5,17.5,ContextualMhl
21,R@100,0.1125,17.5,ContextualMhl
21,nDCG@10,0.4213556995468587,17.5,ContextualMhl
22,P@10,0.7,17.5,ContextualMhl
22,R@100,0.09523809523809523,17.5,ContextualMhl
22,nDCG@10,0.4951480781116973,17.5,ContextualMhl
23,P@10,0.6,17.5,ContextualMhl
23,R@100,0.24050632911392406,17.5,ContextualMhl
23,nDCG@10,0.3300792533881373,17.5,ContextualMhl
24,P@10,0.8,17.5,ContextualMhl
24,R@100,0.38461538461538464,17.5,ContextualMhl
24,nDCG@10,0.6356249416863219,17.5,ContextualMhl
25,P@10,0.0,17.5,ContextualMhl
25,R@100,0.125,17.5,ContextualMhl
25,nDCG@10,0.0,17.5,ContextualMhl
26,P@10,0.3,17.5,ContextualMhl
26,R@100,0.10638297872340426,17.5,ContextualMhl
26,nDCG@10,0.2124630069083355,17.5,ContextualMhl
27,P@10,0.3,17.5,ContextualMhl
27,R@100,0.27586206896551724,17.5,ContextualMhl
27,nDCG@10,0.13909908480897545,17.5,ContextualMhl
28,P@10,0.0,17.5,ContextualMhl
28,R@100,0.07692307692307693,17.5,ContextualMhl
