query_id,metric,value,epsilon,mechanism
1,P@10,0.1,50,ContextualMhl
1,R@100,0.012658227848101266,50,ContextualMhl
1,nDCG@10,0.11004588314904008,50,ContextualMhl
2,P@10,0.3,50,ContextualMhl
2,R@100,0.1188118811881188,50,ContextualMhl
2,nDCG@10,0.3242385992032461,50,ContextualMhl
3,P@10,0.3,50,ContextualMhl
3,R@100,0.07734806629834254,50,ContextualMhl
3,nDCG@10,0.11106391396996637,50,ContextualMhl
4,P@10,0.0,50,ContextualMhl
4,R@100,0.0,50,ContextualMhl
4,nDCG@10,0.0,50,ContextualMhl
5,P@10,0.0,50,ContextualMhl
5,R@100,0.0,50,ContextualMhl
5,nDCG@10,0.0,50,ContextualMhl
6,P@10,0.1,50,ContextualMhl
6,R@100,0.010638297872340425,50,ContextualMhl
6,nDCG@10,0.11004588314904008,50,ContextualMhl
7,P@10,0.8,50,ContextualMhl
7,R@100,0.2,50,ContextualMhl
7,nDCG@10,0.5144624963066654,50,ContextualMhl
8,P@10,0.4,50,ContextualMhl
8,R@100,0.15527950310559005,50,ContextualMhl
8,nDCG@10,0.4193979998881982,50,ContextualMhl
9,P@10,0.4,50,ContextualMhl
9,R@100,0.09565217391304348,50,ContextualMhl
9,nDCG@10,0.1985960974317008,50,ContextualMhl
10,P@10,0.1,50,ContextualMhl
10,R@100,0.25,50,ContextualMhl
10,nDCG@10,0.2807721888661444,50,ContextualMhl
11,P@10,0.1,50,ContextualMhl
11,R@100,0.036036036036036036,50,ContextualMhl
11,nDCG@10,0.04257155882081049,50,ContextualMhl
12,P@10,0.0,50,ContextualMhl
12,R@100,0.0,50,ContextualMhl
12,nDCG@10,0.0,50,ContextualMhl
13,P@10,0.1,50,ContextualMhl
13,R@100,0.041666666666666664,50,ContextualMhl
13,nDCG@10,0.09478836436955078,50,ContextualMhl
14,P@10,0.1,50,ContextualMhl
14,R@100,0.14285714285714285,50,ContextualMhl
14,nDCG@10,0.045528035918548065,50,ContextualMhl
15,P@10,0.1,50,ContextualMhl
15,R@100,0.011111111111111112,50,ContextualMhl
15,nDCG@10,0.04257155882081049,50,ContextualMhl
16,P@10,0.7,50,ContextualMhl
16,R@100,0.16326530612244897,50,ContextualMhl
16,nDCG@10,0.6277870967292746,50,ContextualMhl
17,P@10,0.0,50,ContextualMhl
17,R@100,0.0,50,ContextualMhl
17,nDCG@10,0.0,50,ContextualMhl
18,P@10,0.0,50,ContextualMhl
18,R@100,0.0,50,ContextualMhl
18,nDCG@10,0.0,50,ContextualMhl
19,P@10,0.0,50,ContextualMhl
19,R@100,0.0,50,ContextualMhl
19,nDCG@10,0.0,50,ContextualMhl
20,P@10,0.3,50,ContextualMhl
20,R@100,0.12931034482758622,50,ContextualMhl
20,nDCG@10,0.17244657047415124,50,ContextualMhl
21,P@10,0.2,50,ContextualMhl
21,R@100,0.0375,50,ContextualMhl
21,nDCG@10,0.12838686367388008,50,ContextualMhl
22,P@10,0.5,50,ContextualMhl
22,R@100,0.1,50,ContextualMhl
22,nDCG@10,0.43451167081496334,50,ContextualMhl
23,P@10,0.6,50,ContextualMhl
23,R@100,0.24050632911392406,50,ContextualMhl
23,nDCG@10,0.3300792533881373,50,ContextualMhl
24,P@10,0.7,50,ContextualMhl
