query_id,metric,value,epsilon,mechanism
1,P@10,0.0,17.5,Mahalanobis
1,R@100,0.0,17.5,Mahalanobis
1,nDCG@10,0.0,17.5,Mahalanobis
2,P@10,0.4,17.5,Mahalanobis
2,R@100,0.16831683168316833,17.5,Mahalanobis
2,nDCG@10,0.37004428214682733,17.5,Mahalanobis
3,P@10,0.3,17.5,Mahalanobis
3,R@100,0.06629834254143646,17.5,Mahalanobis
3,nDCG@10,0.18925045943329133,17.5,Mahalanobis
4,P@10,0.2,17.5,Mahalanobis
4,R@100,0.13333333333333333,17.5,Mahalanobis
4,nDCG@10,0.22400556151517553,17.5,Mahalanobis
5,P@10,0.0,17.5,Mahalanobis
5,R@100,0.0,17.5,Mahalanobis
5,nDCG@10,0.0,17.5,Mahalanobis
6,P@10,0.1,17.5,Mahalanobis
6,R@100,0.010638297872340425,17.5,Mahalanobis
6,nDCG@10,0.13886244387355454,17.5,Mahalanobis
7,P@10,0.6,17.5,Mahalanobis
7,R@100,0.21739130434782608,17.5,Mahalanobis
7,nDCG@10,0.3482095134374321,17.5,Mahalanobis
8,P@10,0.2,17.5,Mahalanobis
8,R@100,0.14285714285714285,17.5,Mahalanobis
8,nDCG@10,0.28371255449703187,17.5,Mahalanobis
9,P@10,0.1,17.5,Mahalanobis
9,R@100,0.008695652173913044,17.5,Mahalanobis
9,nDCG@10,0.05502294157452004,17.5,Mahalanobis
10,P@10,0.0,17.5,Mahalanobis
10,R@100,0.0,17.5,Mahalanobis
10,nDCG@10,0.0,17.5,Mahalanobis
11,P@10,0.4,17.5,Mahalanobis
11,R@100,0.10810810810810811,17.5,Mahalanobis
11,nDCG@10,0.2676271583875319,17.5,Mahalanobis
12,P@10,0.2,17.5,Mahalanobis
12,R@100,0.0078125,17.5,Mahalanobis
12,nDCG@10,0.13342121055319536,17.5,Mahalanobis
13,P@10,0.2,17.5,Mahalanobis
13,R@100,0.25,17.5,Mahalanobis
13,nDCG@10,0.1487639058405727,17.5,Mahalanobis
14,P@10,0.1,17.5,Mahalanobis
14,R@100,0.047619047619047616,17.5,Mahalanobis
14,nDCG@10,0.058844132790466304,17.5,Mahalanobis
15,P@10,0.3,17.5,Mahalanobis
15,R@100,0.1111111111111111,17.5,Mahalanobis
15,nDCG@10,0.15891956289064524,17.5,Mahalanobis
16,P@10,0.6,17.5,Mahalanobis
16,R@100,0.1836734693877551,17.5,Mahalanobis
16,nDCG@10,0.5608832408213127,17.5,Mahalanobis
17,P@10,0.0,17.5,Mahalanobis
17,R@100,0.0,17.5,Mahalanobis
17,nDCG@10,0.0,17.5,Mahalanobis
18,P@10,0.0,17.5,Mahalanobis
18,R@100,0.0,17.5,Mahalanobis
18,nDCG@10,0.0,17.5,Mahalanobis
19,P@10,0.0,17.5,Mahalanobis
19,R@100,0.0,17.5,Mahalanobis
19,nDCG@10,0.0,17.5,Mahalanobis
20,P@10,0.3,17.5,Mahalanobis
20,R@100,0.12931034482758622,17.5,Mahalanobis
20,nDCG@10,0.17244657047415124,17.5,Mahalanobis
21,P@10,0.6,17.5,Mahalanobis
21,R@100,0.275,17.5,Mahalanobis
21,nDCG@10,0.4996805452188857,17.5,Mahalanobis
22,P@10,0.8,17.5,Mahalanobis
22,R@100,0.14285714285714285,17.5,Mahalanobis
22,nDCG@10,0.5864305367450019,17.5,Mahalanobis
23,P@10,0.7,17.5,Mahalanobis
23,R@100,0.3227848101265823,17.5,Mahalanobis
23,nDCG@10,0.39427486044279786,17.5,Mahalanobis
24,P@10,0.8,17.5,Mahalanobis
24,R@100,0.4230769230769231,17.5,Mahalanobis
24,nDCG@10,0.6356249416863219,17.5,Mahalanobis
25,P@10,0.0,17.5,Mahalanobis
25,R@100,0.125,17.5,Mahalanobis
25,nDCG@10,0.0,17.5,Mahalanobis
26,P@10,0.3,17.5,Mahalanobis
26,R@100,0.0851063829787234,17.5,Mahalanobis
26,nDCG@10,0.22687128727059275,17.5,Mahalanobis
27,P@10,0.5,17.5,Mahalanobis
27,R@100,0.3103448275862069,17.5,Mahalanobis
27,nDCG@10,0.2173149287966381,17.5,Mahalanobis
28,P@10,0.0,17.5,Mahalanobis
28,R@100,0.0,17.5,Mahalanobis
28,nDCG@10,0.0,17.5,Mahalanobis
29,P@10,0.0,17.5,Mahalanobis
29,R@100,0.0,17.5,Mahalanobis
29,nDCG@10,0.0,17.5,Mahalanobis
30,P@10,0.2,17.5,Mahalanobis
30,R@100,0.05454545454545454,17.5,Mahalanobis
30,nDCG@10,0.11200278075758777,17.5,Mahalanobis
31,P@10,0.4,17.5,Mahalanobis
31,R@100,0.11594202898550725,17.5,Mahalanobis
31,nDCG@10,0.456899187845258,17.5,Mahalanobis
32,P@10,0.8,17.5,Mahalanobis
32,R@100,0.11693548387096774,17.5,Mahalanobis
32,nDCG@10,0.42271283021080086,17.5,Mahalanobis
33,P@10,0.1,17.5,Mahalanobis
33,R@100,0.0625,17.5,Mahalanobis
33,nDCG@10,0.06943122193677727,17.5,Mahalanobis
34,P@10,0.1,17.5,Mahalanobis
34,R@100,0.22580645161290322,17.5,Mahalanobis
34,nDCG@10,0.07336392209936005,17.5,Mahalanobis
35,P@10,0.8,17.5,Mahalanobis
35,R@100,0.15129151291512916,17.5,Mahalanobis
35,nDCG@10,0.41003425899441415,17.5,Mahalanobis
36,P@10,0.0,17.5,Mahalanobis
36,R@100,0.0,17.5,Mahalanobis
36,nDCG@10,0.0,17.5,Mahalanobis
37,P@10,0.3,17.5,Mahalanobis
37,R@100,0.28859060402684567,17.5,Mahalanobis
37,nDCG@10,0.12309285273278041,17.5,Mahalanobis
38,P@10,0.0,17.5,Mahalanobis
38,R@100,0.01182033096926714,17.5,Mahalanobis
38,nDCG@10,0.0,17.5,Mahalanobis
39,P@10,0.0,17.5,Mahalanobis
39,R@100,0.0031545741324921135,17.5,Mahalanobis
39,nDCG@10,0.0,17.5,Mahalanobis
40,P@10,0.2,17.5,Mahalanobis
40,R@100,0.11552346570397112,17.5,Mahalanobis
40,nDCG@10,0.2674859484828555,17.5,Mahalanobis
41,P@10,1.0,17.5,Mahalanobis
41,R@100,0.13402061855670103,17.5,Mahalanobis
41,nDCG@10,0.8202957064515055,17.5,Mahalanobis
42,P@10,0.8,17.5,Mahalanobis
42,R@100,0.06025824964131994,17.5,Mahalanobis
42,nDCG@10,0.5335367251808844,17.5,Mahalanobis
43,P@10,0.2,17.5,Mahalanobis
43,R@100,0.020512820512820513,17.5,Mahalanobis
43,nDCG@10,0.1244541635112973,17.5,Mahalanobis
44,P@10,0.5,17.5,Mahalanobis
44,R@100,0.04314329738058552,17.5,Mahalanobis
44,nDCG@10,0.26316520489101763,17.5,Mahalanobis
45,P@10,0.0,17.5,Mahalanobis
45,R@100,0.00641025641025641,17.5,Mahalanobis
45,nDCG@10,0.0,17.5,Mahalanobis
46,P@10,0.0,17.5,Mahalanobis
46,R@100,0.0,17.5,Mahalanobis
46,nDCG@10,0.0,17.5,Mahalanobis
47,P@10,0.3,17.5,Mahalanobis
47,R@100,0.057534246575342465,17.5,Mahalanobis
47,nDCG@10,0.31488013066763093,17.5,Mahalanobis
48,P@10,0.6,17.5,Mahalanobis
48,R@100,0.17419354838709677,17.5,Mahalanobis
48,nDCG@10,0.48882922182497546,17.5,Mahalanobis
49,P@10,0.8,17.5,Mahalanobis
49,R@100,0.2191780821917808,17.5,Mahalanobis
49,nDCG@10,0.6158461242977078,17.5,Mahalanobis
50,P@10,0.5,17.5,Mahalanobis
50,R@100,0.06291390728476821,17.5,Mahalanobis
50,nDCG@10,0.3359783036320114,17.5,Mahalanobis
