query_id,metric,value,epsilon,mechanism
1,P@10,0.0,10,VickreyCMP
1,R@100,0.0,10,VickreyCMP
1,nDCG@10,0.0,10,VickreyCMP
2,P@10,0.4,10,VickreyCMP
2,R@100,0.15841584158415842,10,VickreyCMP
2,nDCG@10,0.37004428214682733,10,VickreyCMP
3,P@10,0.3,10,VickreyCMP
3,R@100,0.049723756906077346,10,VickreyCMP
3,nDCG@10,0.18396062860676635,10,VickreyCMP
4,P@10,0.1,10,VickreyCMP
4,R@100,0.06666666666666667,10,VickreyCMP
4,nDCG@10,0.09478836436955078,10,VickreyCMP
5,P@10,0.0,10,VickreyCMP
5,R@100,0.0,10,VickreyCMP
5,nDCG@10,0.0,10,VickreyCMP
6,P@10,0.3,10,VickreyCMP
6,R@100,0.031914893617021274,10,VickreyCMP
6,nDCG@10,0.36211082347570717,10,VickreyCMP
7,P@10,0.6,10,VickreyCMP
7,R@100,0.1826086956521739,10,VickreyCMP
7,nDCG@10,0.3525706700654936,10,VickreyCMP
8,P@10,0.3,10,VickreyCMP
8,R@100,0.09937888198757763,10,VickreyCMP
8,nDCG@10,0.351562091717311,10,VickreyCMP
9,P@10,0.0,10,VickreyCMP
9,R@100,0.0,10,VickreyCMP
9,nDCG@10,0.0,10,VickreyCMP
10,P@10,0.0,10,VickreyCMP
10,R@100,0.0,10,VickreyCMP
10,nDCG@10,0.0,10,VickreyCMP
11,P@10,0.4,10,VickreyCMP
11,R@100,0.11711711711711711,10,VickreyCMP
11,nDCG@10,0.25535820062483505,10,VickreyCMP
12,P@10,0.3,10,VickreyCMP
12,R@100,0.01171875,10,VickreyCMP
12,nDCG@10,0.20001162415462598,10,VickreyCMP
13,P@10,0.2,10,VickreyCMP
13,R@100,0.125,10,VickreyCMP
13,nDCG@10,0.10030274924863172,10,VickreyCMP
14,P@10,0.0,10,VickreyCMP
14,R@100,0.0,10,VickreyCMP
14,nDCG@10,0.0,10,VickreyCMP
15,P@10,0.2,10,VickreyCMP
15,R@100,0.07777777777777778,10,VickreyCMP
15,nDCG@10,0.13398749885888844,10,VickreyCMP
16,P@10,0.5,10,VickreyCMP
16,R@100,0.19047619047619047,10,VickreyCMP
16,nDCG@10,0.5274843474806428,10,VickreyCMP
17,P@10,0.0,10,VickreyCMP
17,R@100,0.0,10,VickreyCMP
17,nDCG@10,0.0,10,VickreyCMP
18,P@10,0.0,10,VickreyCMP
18,R@100,0.0,10,VickreyCMP
18,nDCG@10,0.0,10,VickreyCMP
19,P@10,0.0,10,VickreyCMP
19,R@100,0.0,10,VickreyCMP
19,nDCG@10,0.0,10,VickreyCMP
20,P@10,0.3,10,VickreyCMP
20,R@100,0.12931034482758622,10,VickreyCMP
20,nDCG@10,0.17244657047415124,10,VickreyCMP
21,P@10,0.1,10,VickreyCMP
21,R@100,0.025,10,VickreyCMP
21,nDCG@10,0.13886244387355454,10,VickreyCMP
22,P@10,0.2,10,VickreyCMP
22,R@100,0.01904761904761905,10,VickreyCMP
22,nDCG@10,0.33013764944712026,10,VickreyCMP
23,P@10,0.7,10,VickreyCMP
23,R@100,0.2911392405063291,10,VickreyCMP
23,nDCG@10,0.39427486044279786,10,VickreyCMP
24,P@10,0.8,10,VickreyCMP
24,R@100,0.34615384615384615,10,VickreyCMP
24,nDCG@10,0.6356249416863219,10,VickreyCMP
25,P@10,0.0,10,VickreyCMP
25,R@100,0.125,10,VickreyCMP
25,nDCG@10,0.0,10,VickreyCMP
26,P@10,0.3,10,VickreyCMP
26,R@100,0.06382978723404255,10,VickreyCMP
26,nDCG@10,0.2345000466603374,10,VickreyCMP
27,P@10,0.4,10,VickreyCMP
27,R@100,0.3103448275862069,10,VickreyCMP
27,nDCG@10,0.2085303067457527,10,VickreyCMP
28,P@10,0.0,10,VickreyCMP
28,R@100,0.0,10,VickreyCMP
28,nDCG@10,0.0,10,VickreyCMP
29,P@10,0.0,10,VickreyCMP
29,R@100,0.0,10,VickreyCMP
29,nDCG@10,0.0,10,VickreyCMP
30,P@10,0.2,10,VickreyCMP
30,R@100,0.012121212121212121,10,VickreyCMP
30,nDCG@10,0.0942220760638577,10,VickreyCMP
31,P@10,0.4,10,VickreyCMP
31,R@100,0.10144927536231885,10,VickreyCMP
31,nDCG@10,0.4595326231006953,10,VickreyCMP
32,P@10,0.7,10,VickreyCMP
32,R@100,0.07056451612903226,10,VickreyCMP
32,nDCG@10,0.37357948640741134,10,VickreyCMP
33,P@10,0.1,10,VickreyCMP
33,R@100,0.03125,10,VickreyCMP
33,nDCG@10,0.11004588314904008,10,VickreyCMP
34,P@10,0.1,10,VickreyCMP
34,R@100,0.2903225806451613,10,VickreyCMP
34,nDCG@10,0.11004588314904008,10,VickreyCMP
35,P@10,0.6,10,VickreyCMP
35,R@100,0.08487084870848709,10,VickreyCMP
35,nDCG@10,0.27935741034355355,10,VickreyCMP
36,P@10,0.0,10,VickreyCMP
36,R@100,0.0,10,VickreyCMP
36,nDCG@10,0.0,10,VickreyCMP
37,P@10,0.3,10,VickreyCMP
37,R@100,0.28859060402684567,10,VickreyCMP
37,nDCG@10,0.12309285273278041,10,VickreyCMP
38,P@10,0.0,10,VickreyCMP
38,R@100,0.01182033096926714,10,VickreyCMP
38,nDCG@10,0.0,10,VickreyCMP
39,P@10,0.0,10,VickreyCMP
39,R@100,0.0031545741324921135,10,VickreyCMP
39,nDCG@10,0.0,10,VickreyCMP
40,P@10,0.2,10,VickreyCMP
40,R@100,0.11552346570397112,10,VickreyCMP
40,nDCG@10,0.2674859484828555,10,VickreyCMP
41,P@10,1.0,10,VickreyCMP
41,R@100,0.13402061855670103,10,VickreyCMP
41,nDCG@10,0.8202957064515055,10,VickreyCMP
42,P@10,0.7,10,VickreyCMP
42,R@100,0.05595408895265423,10,VickreyCMP
42,nDCG@10,0.5581802949950067,10,VickreyCMP
43,P@10,0.2,10,VickreyCMP
43,R@100,0.020512820512820513,10,VickreyCMP
43,nDCG@10,0.1244541635112973,10,VickreyCMP
44,P@10,0.3,10,VickreyCMP
44,R@100,0.02773497688751926,10,VickreyCMP
44,nDCG@10,0.1718483456960727,10,VickreyCMP
45,P@10,0.0,10,VickreyCMP
45,R@100,0.00641025641025641,10,VickreyCMP
45,nDCG@10,0.0,10,VickreyCMP
46,P@10,0.0,10,VickreyCMP
46,R@100,0.01015228426395939,10,VickreyCMP
46,nDCG@10,0.0,10,VickreyCMP
47,P@10,0.2,10,VickreyCMP
47,R@100,0.049315068493150684,10,VickreyCMP
47,nDCG@10,0.2489083270225946,10,VickreyCMP
48,P@10,0.7,10,VickreyCMP
48,R@100,0.17419354838709677,10,VickreyCMP
48,nDCG@10,0.5303827498248596,10,VickreyCMP
49,P@10,0.6,10,VickreyCMP
49,R@100,0.1780821917808219,10,VickreyCMP
49,nDCG@10,0.40623648097607146,10,VickreyCMP
50,P@10,0.5,10,VickreyCMP
50,R@100,0.06291390728476821,10,VickreyCMP
50,nDCG@10,0.3359783036320114,10,VickreyCMP
