query_id,metric,value,epsilon,mechanism
1,P@10,0.0,12.5,VickreyMhl
1,R@100,0.0,12.5,VickreyMhl
1,nDCG@10,0.0,12.5,VickreyMhl
2,P@10,0.3,12.5,VickreyMhl
2,R@100,0.13861386138613863,12.5,VickreyMhl
2,nDCG@10,0.3242385992032461,12.5,VickreyMhl
3,P@10,0.5,12.5,VickreyMhl
3,R@100,0.049723756906077346,12.5,VickreyMhl
3,nDCG@10,0.2603089316083441,12.5,VickreyMhl
4,P@10,0.2,12.5,VickreyMhl
4,R@100,0.2,12.5,VickreyMhl
4,nDCG@10,0.22400556151517553,12.5,VickreyMhl
5,P@10,0.0,12.5,VickreyMhl
5,R@100,0.0,12.5,VickreyMhl
5,nDCG@10,0.0,12.5,VickreyMhl
6,P@10,0.0,12.5,VickreyMhl
6,R@100,0.0,12.5,VickreyMhl
6,nDCG@10,0.0,12.5,VickreyMhl
7,P@10,0.7,12.5,VickreyMhl
7,R@100,0.1826086956521739,12.5,VickreyMhl
7,nDCG@10,0.45569873203331906,12.5,VickreyMhl
8,P@10,0.4,12.5,VickreyMhl
8,R@100,0.062111801242236024,12.5,VickreyMhl
8,nDCG@10,0.4011471780359338,12.5,VickreyMhl
9,P@10,0.0,12.5,VickreyMhl
9,R@100,0.0,12.5,VickreyMhl
9,nDCG@10,0.0,12.5,VickreyMhl
10,P@10,0.0,12.5,VickreyMhl
10,R@100,0.0,12.5,VickreyMhl
10,nDCG@10,0.0,12.5,VickreyMhl
11,P@10,0.4,12.5,VickreyMhl
11,R@100,0.13513513513513514,12.5,VickreyMhl
11,nDCG@10,0.21166535002539047,12.5,VickreyMhl
12,P@10,0.0,12.5,VickreyMhl
12,R@100,0.0078125,12.5,VickreyMhl
12,nDCG@10,0.0,12.5,VickreyMhl
13,P@10,0.2,12.5,VickreyMhl
13,R@100,0.08333333333333333,12.5,VickreyMhl
13,nDCG@10,0.14016605921614103,12.5,VickreyMhl
14,P@10,0.0,12.5,VickreyMhl
14,R@100,0.047619047619047616,12.5,VickreyMhl
14,nDCG@10,0.0,12.5,VickreyMhl
15,P@10,0.2,12.5,VickreyMhl
15,R@100,0.1,12.5,VickreyMhl
15,nDCG@10,0.11985872861000964,12.5,VickreyMhl
16,P@10,0.5,12.5,VickreyMhl
16,R@100,0.17006802721088435,12.5,VickreyMhl
16,nDCG@10,0.5274843474806428,12.5,VickreyMhl
17,P@10,0.0,12.5,VickreyMhl
17,R@100,0.0,12.5,VickreyMhl
17,nDCG@10,0.0,12.5,VickreyMhl
18,P@10,0.0,12.5,VickreyMhl
18,R@100,0.0,12.5,VickreyMhl
18,nDCG@10,0.0,12.5,VickreyMhl
19,P@10,0.0,12.5,VickreyMhl
19,R@100,0.0,12.5,VickreyMhl
19,nDCG@10,0.0,12.5,VickreyMhl
20,P@10,0.3,12.5,VickreyMhl
20,R@100,0.12931034482758622,12.5,VickreyMhl
20,nDCG@10,0.17244657047415124,12.5,VickreyMhl
21,P@10,0.0,12.5,VickreyMhl
21,R@100,0.0,12.5,VickreyMhl
21,nDCG@10,0.0,12.5,VickreyMhl
22,P@10,0.5,12.5,VickreyMhl
22,R@100,0.06666666666666667,12.5,VickreyMhl
22,nDCG@10,0.5747124023406713,12.5,VickreyMhl
23,P@10,0.7,12.5,VickreyMhl
23,R@100,0.2911392405063291,12.5,VickreyMhl
23,nDCG@10,0.39427486044279786,12.5,VickreyMhl
24,P@10,0.8,12.5,VickreyMhl
24,R@100,0.38461538461538464,12.5,VickreyMhl
24,nDCG@10,0.6356249416863219,12.5,VickreyMhl
25,P@10,0.0,12.5,VickreyMhl
25,R@100,0.0625,12.5,VickreyMhl
25,nDCG@10,0.0,12.5,VickreyMhl
26,P@10,0.1,12.5,VickreyMhl
26,R@100,0.02127659574468085,12.5,VickreyMhl
26,nDCG@10,0.11004588314904008,12.5,VickreyMhl
27,P@10,0.5,12.5,VickreyMhl
27,R@100,0.3793103448275862,12.5,VickreyMhl
27,nDCG@10,0.2536190390062209,12.5,VickreyMhl
28,P@10,0.0,12.5,VickreyMhl
28,R@100,0.0,12.5,VickreyMhl
28,nDCG@10,0.0,12.5,VickreyMhl
29,P@10,0.0,12.5,VickreyMhl
29,R@100,0.023255813953488372,12.5,VickreyMhl
29,nDCG@10,0.0,12.5,VickreyMhl
30,P@10,0.3,12.5,VickreyMhl
30,R@100,0.04242424242424243,12.5,VickreyMhl
30,nDCG@10,0.21260421681301186,12.5,VickreyMhl
31,P@10,0.4,12.5,VickreyMhl
31,R@100,0.12318840579710146,12.5,VickreyMhl
31,nDCG@10,0.456899187845258,12.5,VickreyMhl
32,P@10,0.8,12.5,VickreyMhl
32,R@100,0.1028225806451613,12.5,VickreyMhl
32,nDCG@10,0.42271283021080086,12.5,VickreyMhl
33,P@10,0.1,12.5,VickreyMhl
33,R@100,0.046875,12.5,VickreyMhl
33,nDCG@10,0.03668196104968002,12.5,VickreyMhl
34,P@10,0.1,12.5,VickreyMhl
34,R@100,0.1935483870967742,12.5,VickreyMhl
34,nDCG@10,0.08514311764162098,12.5,VickreyMhl
35,P@10,0.8,12.5,VickreyMhl
35,R@100,0.1033210332103321,12.5,VickreyMhl
35,nDCG@10,0.4688392383540968,12.5,VickreyMhl
36,P@10,0.1,12.5,VickreyMhl
36,R@100,0.003937007874015748,12.5,VickreyMhl
36,nDCG@10,0.11004588314904008,12.5,VickreyMhl
37,P@10,0.3,12.5,VickreyMhl
37,R@100,0.28859060402684567,12.5,VickreyMhl
37,nDCG@10,0.12309285273278041,12.5,VickreyMhl
38,P@10,0.0,12.5,VickreyMhl
38,R@100,0.01182033096926714,12.5,VickreyMhl
38,nDCG@10,0.0,12.5,VickreyMhl
39,P@10,0.0,12.5,VickreyMhl
39,R@100,0.0031545741324921135,12.5,VickreyMhl
39,nDCG@10,0.0,12.5,VickreyMhl
40,P@10,0.2,12.5,VickreyMhl
40,R@100,0.12274368231046931,12.5,VickreyMhl
40,nDCG@10,0.2751147078726002,12.5,VickreyMhl
41,P@10,1.0,12.5,VickreyMhl
41,R@100,0.13402061855670103,12.5,VickreyMhl
41,nDCG@10,0.8202957064515055,12.5,VickreyMhl
42,P@10,0.5,12.5,VickreyMhl
42,R@100,0.03443328550932568,12.5,VickreyMhl
42,nDCG@10,0.5775185383664512,12.5,VickreyMhl
43,P@10,0.2,12.5,VickreyMhl
43,R@100,0.020512820512820513,12.5,VickreyMhl
43,nDCG@10,0.1244541635112973,12.5,VickreyMhl
44,P@10,0.5,12.5,VickreyMhl
44,R@100,0.04468412942989214,12.5,VickreyMhl
44,nDCG@10,0.2021191841405937,12.5,VickreyMhl
45,P@10,0.0,12.5,VickreyMhl
45,R@100,0.00641025641025641,12.5,VickreyMhl
45,nDCG@10,0.0,12.5,VickreyMhl
46,P@10,0.0,12.5,VickreyMhl
46,R@100,0.0,12.5,VickreyMhl
46,nDCG@10,0.0,12.5,VickreyMhl
47,P@10,0.3,12.5,VickreyMhl
47,R@100,0.049315068493150684,12.5,VickreyMhl
47,nDCG@10,0.3920813218988292,12.5,VickreyMhl
48,P@10,0.6,12.5,VickreyMhl
48,R@100,0.17419354838709677,12.5,VickreyMhl
48,nDCG@10,0.48882922182497546,12.5,VickreyMhl
49,P@10,0.8,12.5,VickreyMhl
49,R@100,0.2191780821917808,12.5,VickreyMhl
49,nDCG@10,0.619023122780096,12.5,VickreyMhl
50,P@10,0.5,12.5,VickreyMhl
50,R@100,0.0695364238410596,12.5,VickreyMhl
50,nDCG@10,0.3359783036320114,12.5,VickreyMhl
