query_id,metric,value,epsilon,mechanism
1,P@10,0.0,30,VickreyMhl
1,R@100,0.0,30,VickreyMhl
1,nDCG@10,0.0,30,VickreyMhl
2,P@10,0.4,30,VickreyMhl
2,R@100,0.16831683168316833,30,VickreyMhl
2,nDCG@10,0.37004428214682733,30,VickreyMhl
3,P@10,0.3,30,VickreyMhl
3,R@100,0.06629834254143646,30,VickreyMhl
3,nDCG@10,0.18925045943329133,30,VickreyMhl
4,P@10,0.2,30,VickreyMhl
4,R@100,0.13333333333333333,30,VickreyMhl
4,nDCG@10,0.22400556151517553,30,VickreyMhl
5,P@10,0.0,30,VickreyMhl
5,R@100,0.0,30,VickreyMhl
5,nDCG@10,0.0,30,VickreyMhl
6,P@10,0.1,30,VickreyMhl
6,R@100,0.010638297872340425,30,VickreyMhl
6,nDCG@10,0.09478836436955078,30,VickreyMhl
7,P@10,0.6,30,VickreyMhl
7,R@100,0.21739130434782608,30,VickreyMhl
7,nDCG@10,0.3482095134374321,30,VickreyMhl
8,P@10,0.2,30,VickreyMhl
8,R@100,0.14285714285714285,30,VickreyMhl
8,nDCG@10,0.28371255449703187,30,VickreyMhl
9,P@10,0.0,30,VickreyMhl
9,R@100,0.0,30,VickreyMhl
9,nDCG@10,0.0,30,VickreyMhl
10,P@10,0.0,30,VickreyMhl
10,R@100,0.0,30,VickreyMhl
10,nDCG@10,0.0,30,VickreyMhl
11,P@10,0.4,30,VickreyMhl
11,R@100,0.11711711711711711,30,VickreyMhl
11,nDCG@10,0.2676271583875319,30,VickreyMhl
12,P@10,0.4,30,VickreyMhl
12,R@100,0.06640625,30,VickreyMhl
12,nDCG@10,0.1609752695943994,30,VickreyMhl
13,P@10,0.1,30,VickreyMhl
13,R@100,0.16666666666666666,30,VickreyMhl
13,nDCG@10,0.06625422345438903,30,VickreyMhl
14,P@10,0.0,30,VickreyMhl
14,R@100,0.047619047619047616,30,VickreyMhl
14,nDCG@10,0.0,30,VickreyMhl
15,P@10,0.3,30,VickreyMhl
15,R@100,0.1111111111111111,30,VickreyMhl
15,nDCG@10,0.15891956289064524,30,VickreyMhl
16,P@10,0.5,30,VickreyMhl
16,R@100,0.17006802721088435,30,VickreyMhl
16,nDCG@10,0.5274843474806428,30,VickreyMhl
17,P@10,0.0,30,VickreyMhl
17,R@100,0.0,30,VickreyMhl
17,nDCG@10,0.0,30,VickreyMhl
18,P@10,0.0,30,VickreyMhl
18,R@100,0.0,30,VickreyMhl
18,nDCG@10,0.0,30,VickreyMhl
19,P@10,0.0,30,VickreyMhl
19,R@100,0.0,30,VickreyMhl
19,nDCG@10,0.0,30,VickreyMhl
20,P@10,0.3,30,VickreyMhl
20,R@100,0.12931034482758622,30,VickreyMhl
20,nDCG@10,0.17244657047415124,30,VickreyMhl
21,P@10,0.6,30,VickreyMhl
21,R@100,0.275,30,VickreyMhl
21,nDCG@10,0.4996805452188857,30,VickreyMhl
22,P@10,0.8,30,VickreyMhl
22,R@100,0.14285714285714285,30,VickreyMhl
22,nDCG@10,0.5864305367450019,30,VickreyMhl
23,P@10,0.7,30,VickreyMhl
23,R@100,0.3227848101265823,30,VickreyMhl
23,nDCG@10,0.39427486044279786,30,VickreyMhl
24,P@10,0.8,30,VickreyMhl
24,R@100,0.34615384615384615,30,VickreyMhl
24,nDCG@10,0.6356249416863219,30,VickreyMhl
25,P@10,0.0,30,VickreyMhl
25,R@100,0.125,30,VickreyMhl
25,nDCG@10,0.0,30,VickreyMhl
26,P@10,0.6,30,VickreyMhl
26,R@100,0.1702127659574468,30,VickreyMhl
26,nDCG@10,0.3591813986343119,30,VickreyMhl
27,P@10,0.5,30,VickreyMhl
27,R@100,0.3103448275862069,30,VickreyMhl
27,nDCG@10,0.2173149287966381,30,VickreyMhl
28,P@10,0.0,30,VickreyMhl
28,R@100,0.0,30,VickreyMhl
28,nDCG@10,0.0,30,VickreyMhl
29,P@10,0.0,30,VickreyMhl
29,R@100,0.0,30,VickreyMhl
29,nDCG@10,0.0,30,VickreyMhl
30,P@10,0.1,30,VickreyMhl
30,R@100,0.048484848484848485,30,VickreyMhl
30,nDCG@10,0.05502294157452004,30,VickreyMhl
31,P@10,0.3,30,VickreyMhl
31,R@100,0.11594202898550725,30,VickreyMhl
31,nDCG@10,0.3932783996463063,30,VickreyMhl
32,P@10,0.8,30,VickreyMhl
32,R@100,0.11693548387096774,30,VickreyMhl
32,nDCG@10,0.42271283021080086,30,VickreyMhl
33,P@10,0.1,30,VickreyMhl
33,R@100,0.0625,30,VickreyMhl
33,nDCG@10,0.06943122193677727,30,VickreyMhl
34,P@10,0.1,30,VickreyMhl
34,R@100,0.22580645161290322,30,VickreyMhl
34,nDCG@10,0.07336392209936005,30,VickreyMhl
35,P@10,0.9,30,VickreyMhl
35,R@100,0.13284132841328414,30,VickreyMhl
35,nDCG@10,0.45260581781522463,30,VickreyMhl
36,P@10,0.2,30,VickreyMhl
36,R@100,0.007874015748031496,30,VickreyMhl
36,nDCG@10,0.1257924511634507,30,VickreyMhl
37,P@10,0.3,30,VickreyMhl
37,R@100,0.28859060402684567,30,VickreyMhl
37,nDCG@10,0.12309285273278041,30,VickreyMhl
38,P@10,0.0,30,VickreyMhl
38,R@100,0.01182033096926714,30,VickreyMhl
38,nDCG@10,0.0,30,VickreyMhl
39,P@10,0.0,30,VickreyMhl
39,R@100,0.0031545741324921135,30,VickreyMhl
39,nDCG@10,0.0,30,VickreyMhl
40,P@10,0.2,30,VickreyMhl
40,R@100,0.11552346570397112,30,VickreyMhl
40,nDCG@10,0.2674859484828555,30,VickreyMhl
41,P@10,1.0,30,VickreyMhl
41,R@100,0.13402061855670103,30,VickreyMhl
41,nDCG@10,0.8202957064515055,30,VickreyMhl
42,P@10,0.8,30,VickreyMhl
42,R@100,0.06025824964131994,30,VickreyMhl
42,nDCG@10,0.5335367251808844,30,VickreyMhl
43,P@10,0.2,30,VickreyMhl
43,R@100,0.020512820512820513,30,VickreyMhl
43,nDCG@10,0.1244541635112973,30,VickreyMhl
44,P@10,0.5,30,VickreyMhl
