id,text,obfuscatedText,mechanism,epsilon
1,Ferroportin-1 in humans,Clock in draper,DPMLM,5
1,Ferroportin-1 in humans,Harm in appointed,DPMLM,5
1,Ferroportin-1 in humans,と in tanks,DPMLM,5
1,Ferroportin-1 in humans,Clash in circ,DPMLM,5
1,Ferroportin-1 in humans,Palestinians in ence,DPMLM,5
1,Ferroportin-1 in humans,Voluntary in videos,DPMLM,5
1,Ferroportin-1 in humans,Protesters in bangkok,DPMLM,5
1,Ferroportin-1 in humans,Various in elusive,DPMLM,5
1,Ferroportin-1 in humans,Dr in ord,DPMLM,5
1,Ferroportin-1 in humans,Bestselling in snipp,DPMLM,5
1,Ferroportin-1 in humans,52 in turnover,DPMLM,5
1,Ferroportin-1 in humans,Authors in fd,DPMLM,5
1,Ferroportin-1 in humans,Stock in dude,DPMLM,5
1,Ferroportin-1 in humans,Oup in appearances,DPMLM,5
1,Ferroportin-1 in humans,070 in insects,DPMLM,5
1,Ferroportin-1 in humans,Download in lans,DPMLM,5
1,Ferroportin-1 in humans,Having in manufact,DPMLM,5
1,Ferroportin-1 in humans,Irm in rodney,DPMLM,5
1,Ferroportin-1 in humans,Forwarding in on,DPMLM,5
1,Ferroportin-1 in humans,Hitting in cele,DPMLM,5
1,Ferroportin-1 in humans,Bernatorial in lantern,DPMLM,5
1,Ferroportin-1 in humans,Port in omaha,DPMLM,5
1,Ferroportin-1 in humans,Bean in firefly,DPMLM,5
1,Ferroportin-1 in humans,671 in adra,DPMLM,5
1,Ferroportin-1 in humans,Coal in disappointing,DPMLM,5
1,Ferroportin-1 in humans,Futuristic in increasing,DPMLM,5
1,Ferroportin-1 in humans,Asthma in file,DPMLM,5
1,Ferroportin-1 in humans,Building in eurozone,DPMLM,5
1,Ferroportin-1 in humans,Prosecutor in blessing,DPMLM,5
1,Ferroportin-1 in humans,Hierarch in wichita,DPMLM,5
1,Ferroportin-1 in humans,Dom in goblin,DPMLM,5
1,Ferroportin-1 in humans,Conscious in tenants,DPMLM,5
1,Ferroportin-1 in humans,Osit in expressing,DPMLM,5
1,Ferroportin-1 in humans,Content in diction,DPMLM,5
1,Ferroportin-1 in humans,Dumping in rost,DPMLM,5
1,Ferroportin-1 in humans,Friends in head,DPMLM,5
1,Ferroportin-1 in humans,Doug in hormones,DPMLM,5
1,Ferroportin-1 in humans,Rift in oses,DPMLM,5
1,Ferroportin-1 in humans,Chain in 1893,DPMLM,5
1,Ferroportin-1 in humans,Ix in passed,DPMLM,5
1,Ferroportin-1 in humans,Ak in human,DPMLM,5
1,Ferroportin-1 in humans,Mop in sailor,DPMLM,5
1,Ferroportin-1 in humans,549 in gle,DPMLM,5
1,Ferroportin-1 in humans,Bered in opened,DPMLM,5
1,Ferroportin-1 in humans,Yield in planners,DPMLM,5
1,Ferroportin-1 in humans,Burning in 307,DPMLM,5
1,Ferroportin-1 in humans,Chemical in igh,DPMLM,5
1,Ferroportin-1 in humans,Fellows in plot,DPMLM,5
1,Ferroportin-1 in humans,V in 1911,DPMLM,5
1,Ferroportin-1 in humans,Ra in hurts,DPMLM,5
10,NEIL1,Zer,DPMLM,5
10,NEIL1,Hell,DPMLM,5
10,NEIL1,Wrecked,DPMLM,5
10,NEIL1,Adr,DPMLM,5
10,NEIL1,Mentality,DPMLM,5
10,NEIL1,Additional,DPMLM,5
10,NEIL1,Politics,DPMLM,5
10,NEIL1,Antibiotics,DPMLM,5
10,NEIL1,Agreed,DPMLM,5
10,NEIL1,Vis,DPMLM,5
10,NEIL1,Sem,DPMLM,5
10,NEIL1,Ere,DPMLM,5
10,NEIL1,Press,DPMLM,5
10,NEIL1,Reens,DPMLM,5
10,NEIL1,Issue,DPMLM,5
10,NEIL1,Journal,DPMLM,5
10,NEIL1,Raising,DPMLM,5
10,NEIL1,((,DPMLM,5
10,NEIL1,Ement,DPMLM,5
10,NEIL1,Ruby,DPMLM,5
10,NEIL1,Throat,DPMLM,5
10,NEIL1,Uff,DPMLM,5
10,NEIL1,(!,DPMLM,5
10,NEIL1,Scotch,DPMLM,5
10,NEIL1,Rapp,DPMLM,5
10,NEIL1,Beck,DPMLM,5
10,NEIL1,Vaccination,DPMLM,5
10,NEIL1,Han,DPMLM,5
10,NEIL1,Zan,DPMLM,5
10,NEIL1,Kill,DPMLM,5
10,NEIL1,●,DPMLM,5
10,NEIL1,Done,DPMLM,5
10,NEIL1,Main,DPMLM,5
