id,text,obfuscatedText,epsilon,mechanism
1037798,who is robert gray,who is rob grey,20,ContextualCMP
1037798,who is robert gray,who is rob grey,20,ContextualCMP
1037798,who is robert gray,what is john gray,20,ContextualCMP
1037798,who is robert gray,what is john gray,20,ContextualCMP
1037798,who is robert gray,what is john gray,20,ContextualCMP
1037798,who is robert gray,who is rob grey,20,ContextualCMP
1037798,who is robert gray,who is roderick gray,20,ContextualCMP
1037798,who is robert gray,who is rob grey,20,ContextualCMP
1037798,who is robert gray,who is roderick gray,20,ContextualCMP
1037798,who is robert gray,who is rob grey,20,ContextualCMP
1037798,who is robert gray,what is john gray,20,ContextualCMP
1037798,who is robert gray,who is roderick gray,20,ContextualCMP
1037798,who is robert gray,who is rob grey,20,ContextualCMP
1037798,who is robert gray,who is rob grey,20,ContextualCMP
1037798,who is robert gray,who is rob grey,20,ContextualCMP
1037798,who is robert gray,who is rob grey,20,ContextualCMP
1037798,who is robert gray,what is john gray,20,ContextualCMP
1037798,who is robert gray,who is rob grey,20,ContextualCMP
1037798,who is robert gray,who is rob grey,20,ContextualCMP
1037798,who is robert gray,who is rob grey,20,ContextualCMP
1037798,who is robert gray,what is john gray,20,ContextualCMP
1037798,who is robert gray,what is john gray,20,ContextualCMP
1037798,who is robert gray,who is roderick gray,20,ContextualCMP
1037798,who is robert gray,who is rob grey,20,ContextualCMP
1037798,who is robert gray,what is john gray,20,ContextualCMP
1037798,who is robert gray,what is john gray,20,ContextualCMP
1037798,who is robert gray,who is roderick gray,20,ContextualCMP
1037798,who is robert gray,what is john gray,20,ContextualCMP
1037798,who is robert gray,who is robert mack,20,ContextualCMP
1037798,who is robert gray,who is roderick gray,20,ContextualCMP
1037798,who is robert gray,who is rob grey,20,ContextualCMP
1037798,who is robert gray,what is john gray,20,ContextualCMP
1037798,who is robert gray,what is john gray,20,ContextualCMP
1037798,who is robert gray,who is rob grey,20,ContextualCMP
1037798,who is robert gray,what is john gray,20,ContextualCMP
1037798,who is robert gray,what is john gray,20,ContextualCMP
1037798,who is robert gray,who is rob grey,20,ContextualCMP
1037798,who is robert gray,what is john gray,20,ContextualCMP
1037798,who is robert gray,who is rob grey,20,ContextualCMP
1037798,who is robert gray,what is john gray,20,ContextualCMP
1037798,who is robert gray,what is john gray,20,ContextualCMP
1037798,who is robert gray,what is john gray,20,ContextualCMP
1037798,who is robert gray,what is john gray,20,ContextualCMP
1037798,who is robert gray,who is rob grey,20,ContextualCMP
1037798,who is robert gray,what is john gray,20,ContextualCMP
1037798,who is robert gray,what is john gray,20,ContextualCMP
1037798,who is robert gray,who is rob grey,20,ContextualCMP
1037798,who is robert gray,what is john gray,20,ContextualCMP
1037798,who is robert gray,who is rob grey,20,ContextualCMP
1037798,who is robert gray,who is rob grey,20,ContextualCMP
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete flooring cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete flooring cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete flooring cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete flooring cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete flooring cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete flooring cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete flooring cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete flooring cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete flooring cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete flooring cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete flooring cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete flooring cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete flooring cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete flooring cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete flooring cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete flooring cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete flooring cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete flooring cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete flooring cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete flooring cost,20,ContextualCMP
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,20,ContextualCMP
1063750,why did the us volunterilay enter ww1,why did the united states entered ww1 in 1917,20,ContextualCMP
1063750,why did the us volunterilay enter ww1,why did the united states entered ww1 in 1917,20,ContextualCMP
1063750,why did the us volunterilay enter ww1,why did the us enter ww1 apush,20,ContextualCMP
1063750,why did the us volunterilay enter ww1,why did the us enter ww1 apush,20,ContextualCMP
1063750,why did the us volunterilay enter ww1,us enters wwi was what policy,20,ContextualCMP
1063750,why did the us volunterilay enter ww1,why did the us enter ww1 apush,20,ContextualCMP
1063750,why did the us volunterilay enter ww1,why did the united states entered ww1 in 1917,20,ContextualCMP
1063750,why did the us volunterilay enter ww1,why did the united states entered ww1 in 1917,20,ContextualCMP
1063750,why did the us volunterilay enter ww1,why did the us enter ww1 apush,20,ContextualCMP
1063750,why did the us volunterilay enter ww1,why did the us enter ww1 apush,20,ContextualCMP
1063750,why did the us volunterilay enter ww1,why did the us enter ww1 apush,20,ContextualCMP
1063750,why did the us volunterilay enter ww1,why did the us enter ww1 apush,20,ContextualCMP
1063750,why did the us volunterilay enter ww1,why did the us enter ww1 apush,20,ContextualCMP
1063750,why did the us volunterilay enter ww1,why did the us enter ww1 apush,20,ContextualCMP
1063750,why did the us volunterilay enter ww1,why did the united states entered ww1 in 1917,20,ContextualCMP
1063750,why did the us volunterilay enter ww1,why did the us enter ww1 apush,20,ContextualCMP
