id,text,obfuscatedText,mechanism,epsilon
1,ferroportin-1 in humans,wxia hub humans,CMP,12.5
1,ferroportin-1 in humans,masako ditch humans,CMP,12.5
1,ferroportin-1 in humans,southerly closed prevalence,CMP,12.5
1,ferroportin-1 in humans,depodesta courthouse intelligent,CMP,12.5
1,ferroportin-1 in humans,shōgun delisted humans,CMP,12.5
1,ferroportin-1 in humans,sodden caribbean humans,CMP,12.5
1,ferroportin-1 in humans,genealogy ever humans,CMP,12.5
1,ferroportin-1 in humans,caged population humans,CMP,12.5
1,ferroportin-1 in humans,thorell in humans,CMP,12.5
1,ferroportin-1 in humans,landes team roughly,CMP,12.5
1,ferroportin-1 in humans,illinois fluent monkeys,CMP,12.5
1,ferroportin-1 in humans,broker in fragrans,CMP,12.5
1,ferroportin-1 in humans,extremophiles moulded humans,CMP,12.5
1,ferroportin-1 in humans,labouring rods humans,CMP,12.5
1,ferroportin-1 in humans,nur swing 1-for-6,CMP,12.5
1,ferroportin-1 in humans,shemon in humans,CMP,12.5
1,ferroportin-1 in humans,pronouncing resistance specific,CMP,12.5
1,ferroportin-1 in humans,kamajors duty humans,CMP,12.5
1,ferroportin-1 in humans,inducements in humans,CMP,12.5
1,ferroportin-1 in humans,overwritten appeared humans,CMP,12.5
1,ferroportin-1 in humans,guanzheng 2.0 substitutions,CMP,12.5
1,ferroportin-1 in humans,matured houston criminals,CMP,12.5
1,ferroportin-1 in humans,"3,505 for humans",CMP,12.5
1,ferroportin-1 in humans,violator votes humans,CMP,12.5
1,ferroportin-1 in humans,cornea werther humans,CMP,12.5
1,ferroportin-1 in humans,insulators instances humans,CMP,12.5
1,ferroportin-1 in humans,helliniko 1994 animals,CMP,12.5
1,ferroportin-1 in humans,vlan unidentified yangtze,CMP,12.5
1,ferroportin-1 in humans,bakersfield in pipo,CMP,12.5
1,ferroportin-1 in humans,italo-turkish in pigs,CMP,12.5
1,ferroportin-1 in humans,sólo bears humans,CMP,12.5
1,ferroportin-1 in humans,choreography aires humans,CMP,12.5
1,ferroportin-1 in humans,nations host humans,CMP,12.5
1,ferroportin-1 in humans,extirpated surplus human,CMP,12.5
1,ferroportin-1 in humans,seraya sides microbes,CMP,12.5
1,ferroportin-1 in humans,underground in humans,CMP,12.5
1,ferroportin-1 in humans,jenkins united humans,CMP,12.5
1,ferroportin-1 in humans,gandhinagar americans humans,CMP,12.5
1,ferroportin-1 in humans,e/i rahimabad humans,CMP,12.5
1,ferroportin-1 in humans,newsreaders performance beings,CMP,12.5
1,ferroportin-1 in humans,stoel in humans,CMP,12.5
1,ferroportin-1 in humans,syncopated merchant humans,CMP,12.5
1,ferroportin-1 in humans,kelvingrove in humans,CMP,12.5
1,ferroportin-1 in humans,four-yard now beings,CMP,12.5
1,ferroportin-1 in humans,blackett least humans,CMP,12.5
1,ferroportin-1 in humans,"22,400 undertaking humans",CMP,12.5
1,ferroportin-1 in humans,twa in humans,CMP,12.5
1,ferroportin-1 in humans,zhangke in humans,CMP,12.5
1,ferroportin-1 in humans,proteins in humans,CMP,12.5
1,ferroportin-1 in humans,thomaston from observable,CMP,12.5
2,generating transgenic mice,wbz-tv transgenic serrano,CMP,12.5
2,generating transgenic mice,generating transgenic mice,CMP,12.5
2,generating transgenic mice,muran miraculously mice,CMP,12.5
2,generating transgenic mice,generating transgenic bamerindus,CMP,12.5
2,generating transgenic mice,generating transgenic railwaymen,CMP,12.5
2,generating transgenic mice,generating electrospinning lequatre,CMP,12.5
2,generating transgenic mice,sustaining transgenic p53,CMP,12.5
2,generating transgenic mice,generating transgenic mice,CMP,12.5
2,generating transgenic mice,generating transgenic genes,CMP,12.5
2,generating transgenic mice,generating transgenic devastators,CMP,12.5
2,generating transgenic mice,generating transgenic mice,CMP,12.5
2,generating transgenic mice,generating strides mice,CMP,12.5
2,generating transgenic mice,generate man-eating embryonic,CMP,12.5
2,generating transgenic mice,generating transgenic mice,CMP,12.5
2,generating transgenic mice,generating greger mice,CMP,12.5
2,generating transgenic mice,cachapoal transgenic mice,CMP,12.5
2,generating transgenic mice,peso transgenic mutant,CMP,12.5
2,generating transgenic mice,generating transgenic mice,CMP,12.5
2,generating transgenic mice,megawatt zooxanthellae rats,CMP,12.5
2,generating transgenic mice,generating transgenic infrared,CMP,12.5
2,generating transgenic mice,generating transgenic mice,CMP,12.5
2,generating transgenic mice,blek aleksandra mice,CMP,12.5
2,generating transgenic mice,generating transgenic mice,CMP,12.5
2,generating transgenic mice,generating transgenic frail,CMP,12.5
2,generating transgenic mice,barbecues ocasek rats,CMP,12.5
2,generating transgenic mice,refrain seed mice,CMP,12.5
2,generating transgenic mice,baxendale transgenic large-bodied,CMP,12.5
2,generating transgenic mice,momentary transgenic mice,CMP,12.5
2,generating transgenic mice,transpositions wearable mice,CMP,12.5
