id,text,obfuscatedText,mechanism,epsilon
1,ferroportin-1 in humans,wxia filled humans,CMP,15
1,ferroportin-1 in humans,51-36 unable humans,CMP,15
1,ferroportin-1 in humans,southerly in prevalence,CMP,15
1,ferroportin-1 in humans,depodesta courthouse humans,CMP,15
1,ferroportin-1 in humans,shōgun before humans,CMP,15
1,ferroportin-1 in humans,lugging up humans,CMP,15
1,ferroportin-1 in humans,genealogy ever humans,CMP,15
1,ferroportin-1 in humans,caged population humans,CMP,15
1,ferroportin-1 in humans,dimitris in humans,CMP,15
1,ferroportin-1 in humans,yola in humans,CMP,15
1,ferroportin-1 in humans,expansion 45 humans,CMP,15
1,ferroportin-1 in humans,broker in humans,CMP,15
1,ferroportin-1 in humans,extremophiles molded humans,CMP,15
1,ferroportin-1 in humans,labouring in humans,CMP,15
1,ferroportin-1 in humans,nur september 1-for-6,CMP,15
1,ferroportin-1 in humans,deuxième in humans,CMP,15
1,ferroportin-1 in humans,pronouncing originated humans,CMP,15
1,ferroportin-1 in humans,kamajors in humans,CMP,15
1,ferroportin-1 in humans,inducements in humans,CMP,15
1,ferroportin-1 in humans,overwritten appeared humans,CMP,15
1,ferroportin-1 in humans,screechy 2.0 humans,CMP,15
1,ferroportin-1 in humans,compelling in humans,CMP,15
1,ferroportin-1 in humans,"3,505 for humans",CMP,15
1,ferroportin-1 in humans,violator votes humans,CMP,15
1,ferroportin-1 in humans,cornea august humans,CMP,15
1,ferroportin-1 in humans,insulators instances humans,CMP,15
1,ferroportin-1 in humans,helliniko 1994 animals,CMP,15
1,ferroportin-1 in humans,vlan in humans,CMP,15
1,ferroportin-1 in humans,bakersfield in pipo,CMP,15
1,ferroportin-1 in humans,italo-turkish in humans,CMP,15
1,ferroportin-1 in humans,schneemann prior humans,CMP,15
1,ferroportin-1 in humans,choreography aires humans,CMP,15
1,ferroportin-1 in humans,aspirants host humans,CMP,15
1,ferroportin-1 in humans,fortunetelling surplus human,CMP,15
1,ferroportin-1 in humans,seraya in humans,CMP,15
1,ferroportin-1 in humans,underground in humans,CMP,15
1,ferroportin-1 in humans,jenkins united humans,CMP,15
1,ferroportin-1 in humans,multi-city in humans,CMP,15
1,ferroportin-1 in humans,e/i stagnated humans,CMP,15
1,ferroportin-1 in humans,newsreaders performance beings,CMP,15
1,ferroportin-1 in humans,lobato in humans,CMP,15
1,ferroportin-1 in humans,syncopated in humans,CMP,15
1,ferroportin-1 in humans,nationally-ranked in humans,CMP,15
1,ferroportin-1 in humans,four-yard now beings,CMP,15
1,ferroportin-1 in humans,blackett in humans,CMP,15
1,ferroportin-1 in humans,"22,400 crisis humans",CMP,15
1,ferroportin-1 in humans,twa in humans,CMP,15
1,ferroportin-1 in humans,zhangke in humans,CMP,15
1,ferroportin-1 in humans,proteins in humans,CMP,15
1,ferroportin-1 in humans,thomaston from humans,CMP,15
2,generating transgenic mice,long-lost transgenic mice,CMP,15
2,generating transgenic mice,generating transgenic mice,CMP,15
2,generating transgenic mice,generating transgenic mice,CMP,15
2,generating transgenic mice,generating transgenic mammalian,CMP,15
2,generating transgenic mice,generating transgenic mice,CMP,15
2,generating transgenic mice,generating transgenic mice,CMP,15
2,generating transgenic mice,sustaining transgenic p53,CMP,15
2,generating transgenic mice,generating transgenic mice,CMP,15
2,generating transgenic mice,generating transgenic genes,CMP,15
2,generating transgenic mice,generating transgenic mice,CMP,15
2,generating transgenic mice,generating transgenic mice,CMP,15
2,generating transgenic mice,generating strides mice,CMP,15
2,generating transgenic mice,generate man-eating mice,CMP,15
2,generating transgenic mice,generating transgenic mice,CMP,15
2,generating transgenic mice,generating transgenic mice,CMP,15
2,generating transgenic mice,generates transgenic mice,CMP,15
2,generating transgenic mice,generating transgenic mice,CMP,15
2,generating transgenic mice,generating transgenic mice,CMP,15
2,generating transgenic mice,megawatt self-replicating rats,CMP,15
2,generating transgenic mice,generating transgenic mice,CMP,15
2,generating transgenic mice,generating transgenic mice,CMP,15
2,generating transgenic mice,blek transgenic mice,CMP,15
2,generating transgenic mice,generating transgenic mice,CMP,15
2,generating transgenic mice,generating transgenic mice,CMP,15
2,generating transgenic mice,generating transgenic rats,CMP,15
2,generating transgenic mice,refrain transgenic mice,CMP,15
2,generating transgenic mice,animations transgenic mice,CMP,15
2,generating transgenic mice,momentary transgenic mice,CMP,15
2,generating transgenic mice,qnix transgenic mice,CMP,15
2,generating transgenic mice,generating transgenic mice,CMP,15
2,generating transgenic mice,generating diseased mice,CMP,15
2,generating transgenic mice,generating transgenic mice,CMP,15
2,generating transgenic mice,generating transgenic mice,CMP,15
2,generating transgenic mice,generating transgenic mice,CMP,15
2,generating transgenic mice,generating transgenic mice,CMP,15
2,generating transgenic mice,generating transgenic mice,CMP,15
2,generating transgenic mice,generating transgenic mice,CMP,15
2,generating transgenic mice,generating transgenic mice,CMP,15
2,generating transgenic mice,generating transgenic mice,CMP,15
2,generating transgenic mice,climaxes transgenic mice,CMP,15
2,generating transgenic mice,generating transgenic mice,CMP,15
2,generating transgenic mice,generating transgenic mice,CMP,15
2,generating transgenic mice,generating internationalen mice,CMP,15
2,generating transgenic mice,generating transgenic mice,CMP,15
2,generating transgenic mice,generating transgenic pump,CMP,15
2,generating transgenic mice,generate transgenic mice,CMP,15
2,generating transgenic mice,generating transgenic agers,CMP,15
2,generating transgenic mice,generating michalek mice,CMP,15
2,generating transgenic mice,generating transgenic mice,CMP,15
2,generating transgenic mice,albrook transgenic mice,CMP,15
3,time course for gene expression in mouse kidney,time course grasses gene expression in mouse kidney,CMP,15
3,time course for gene expression in mouse kidney,post course for hallmark expression 90s mouse kidney,CMP,15
3,time course for gene expression in mouse kidney,recovered course arguing gene expression morning cat kidney,CMP,15
3,time course for gene expression in mouse kidney,hours course for gene expression in mouse kidney,CMP,15
3,time course for gene expression in mouse kidney,learned course promoting gene fascination in mouse childbirth,CMP,15
3,time course for gene expression in mouse kidney,second shizuoka for gene expression in mouse kidney,CMP,15
3,time course for gene expression in mouse kidney,time wondering provides gene expression involves mouse kidney,CMP,15
3,time course for gene expression in mouse kidney,time topic operate gene expression markets mouse kidney,CMP,15
3,time course for gene expression in mouse kidney,bush course for gene expression here mouse kidney,CMP,15
3,time course for gene expression in mouse kidney,4.43 course for gene atmosphere in mouse kidney,CMP,15
3,time course for gene expression in mouse kidney,time tre for gene expression in mouse kidney,CMP,15
3,time course for gene expression in mouse kidney,motorcyclists hall for gene expression charge mouse kidney,CMP,15
