id,text,obfuscatedText,mechanism,epsilon
1,Ferroportin-1 in humans,Flight in lifestyles,DPMLM,12.5
1,Ferroportin-1 in humans,Package in awesome,DPMLM,12.5
1,Ferroportin-1 in humans,Tree in 306,DPMLM,12.5
1,Ferroportin-1 in humans,Ward in raspberry,DPMLM,12.5
1,Ferroportin-1 in humans,Add in tmp,DPMLM,12.5
1,Ferroportin-1 in humans,Article in vancouver,DPMLM,12.5
1,Ferroportin-1 in humans,Opening in conflict,DPMLM,12.5
1,Ferroportin-1 in humans,Ution in sodium,DPMLM,12.5
1,Ferroportin-1 in humans,Medium in developers,DPMLM,12.5
1,Ferroportin-1 in humans,Cdc in terminating,DPMLM,12.5
1,Ferroportin-1 in humans,Micro in interactive,DPMLM,12.5
1,Ferroportin-1 in humans,Nh in land,DPMLM,12.5
1,Ferroportin-1 in humans,Shampoo in grad,DPMLM,12.5
1,Ferroportin-1 in humans,Wcs in apist,DPMLM,12.5
1,Ferroportin-1 in humans,Immigration in newspapers,DPMLM,12.5
1,Ferroportin-1 in humans,Based in cigarettes,DPMLM,12.5
1,Ferroportin-1 in humans,Tidal in iversary,DPMLM,12.5
1,Ferroportin-1 in humans,Home in weird,DPMLM,12.5
1,Ferroportin-1 in humans,Fox in humans,DPMLM,12.5
1,Ferroportin-1 in humans,Ss in 589,DPMLM,12.5
1,Ferroportin-1 in humans,Active in supp,DPMLM,12.5
1,Ferroportin-1 in humans,Disperse in contexts,DPMLM,12.5
1,Ferroportin-1 in humans,Showing in kitten,DPMLM,12.5
1,Ferroportin-1 in humans,Getty in autism,DPMLM,12.5
1,Ferroportin-1 in humans,379 in won,DPMLM,12.5
1,Ferroportin-1 in humans,Induction in soy,DPMLM,12.5
1,Ferroportin-1 in humans,Damage in cells,DPMLM,12.5
1,Ferroportin-1 in humans,First in groups,DPMLM,12.5
1,Ferroportin-1 in humans,Life in forms,DPMLM,12.5
1,Ferroportin-1 in humans,Vert in distingu,DPMLM,12.5
1,Ferroportin-1 in humans,Steam in 114,DPMLM,12.5
1,Ferroportin-1 in humans,Yep in sons,DPMLM,12.5
1,Ferroportin-1 in humans,Enty in autos,DPMLM,12.5
1,Ferroportin-1 in humans,Wind in shuffle,DPMLM,12.5
1,Ferroportin-1 in humans,Advertisement in sim,DPMLM,12.5
1,Ferroportin-1 in humans,158 in obesity,DPMLM,12.5
1,Ferroportin-1 in humans,Los in referees,DPMLM,12.5
1,Ferroportin-1 in humans,Produce in movies,DPMLM,12.5
1,Ferroportin-1 in humans,2008 in residents,DPMLM,12.5
1,Ferroportin-1 in humans,Mi in κ,DPMLM,12.5
1,Ferroportin-1 in humans,Stats in iscover,DPMLM,12.5
1,Ferroportin-1 in humans,Pol in appetite,DPMLM,12.5
1,Ferroportin-1 in humans,Ratom in attery,DPMLM,12.5
1,Ferroportin-1 in humans,Germany in proteins,DPMLM,12.5
1,Ferroportin-1 in humans,Cough in effect,DPMLM,12.5
1,Ferroportin-1 in humans,Ik in spoilers,DPMLM,12.5
1,Ferroportin-1 in humans,� in potatoes,DPMLM,12.5
1,Ferroportin-1 in humans,Like in roland,DPMLM,12.5
1,Ferroportin-1 in humans,Tx in crude,DPMLM,12.5
1,Ferroportin-1 in humans,// in knocked,DPMLM,12.5
10,NEIL1,Training,DPMLM,12.5
10,NEIL1,Lithium,DPMLM,12.5
10,NEIL1,Though,DPMLM,12.5
10,NEIL1,Ija,DPMLM,12.5
