id,text,obfuscatedText,mechanism,epsilon
1,ferroportin-1 in humans,celean in havilland,Mahalanobis,12.5
1,ferroportin-1 in humans,radullan precolumbian motsak,Mahalanobis,12.5
1,ferroportin-1 in humans,pike geingob non,Mahalanobis,12.5
1,ferroportin-1 in humans,) all upward,Mahalanobis,12.5
1,ferroportin-1 in humans,drinkers political humans,Mahalanobis,12.5
1,ferroportin-1 in humans,dihn american humans,Mahalanobis,12.5
1,ferroportin-1 in humans,pollutant in humans,Mahalanobis,12.5
1,ferroportin-1 in humans,flaubert to smiled,Mahalanobis,12.5
1,ferroportin-1 in humans,70.89 in light-years,Mahalanobis,12.5
1,ferroportin-1 in humans,cadfael during humans,Mahalanobis,12.5
1,ferroportin-1 in humans,51-strong curator humans,Mahalanobis,12.5
1,ferroportin-1 in humans,peredelkino faranah madhat,Mahalanobis,12.5
1,ferroportin-1 in humans,labarsouque siret performed,Mahalanobis,12.5
1,ferroportin-1 in humans,cytoskeleton world featherstone,Mahalanobis,12.5
1,ferroportin-1 in humans,kilbane orange tempering,Mahalanobis,12.5
1,ferroportin-1 in humans,dreyfus eigenstates frunda,Mahalanobis,12.5
1,ferroportin-1 in humans,charpak kwan humans,Mahalanobis,12.5
1,ferroportin-1 in humans,120.3 upticks salafia,Mahalanobis,12.5
1,ferroportin-1 in humans,boc it wachner,Mahalanobis,12.5
1,ferroportin-1 in humans,echo spent 1585,Mahalanobis,12.5
1,ferroportin-1 in humans,lieko germersheim humans,Mahalanobis,12.5
1,ferroportin-1 in humans,knighthawks to humans,Mahalanobis,12.5
1,ferroportin-1 in humans,feldwebel skippers their,Mahalanobis,12.5
1,ferroportin-1 in humans,naqib american humans,Mahalanobis,12.5
1,ferroportin-1 in humans,herbert iii two-footed,Mahalanobis,12.5
1,ferroportin-1 in humans,nabha minister cats,Mahalanobis,12.5
1,ferroportin-1 in humans,zaitsev added humans,Mahalanobis,12.5
1,ferroportin-1 in humans,ferrie july gliese,Mahalanobis,12.5
1,ferroportin-1 in humans,perky 1888-89 kinds,Mahalanobis,12.5
1,ferroportin-1 in humans,officer county humans,Mahalanobis,12.5
1,ferroportin-1 in humans,giang more metabolites,Mahalanobis,12.5
1,ferroportin-1 in humans,heryanto alaska honeybees,Mahalanobis,12.5
1,ferroportin-1 in humans,playing calgary lesson,Mahalanobis,12.5
1,ferroportin-1 in humans,shalal taliban humans,Mahalanobis,12.5
1,ferroportin-1 in humans,labarsouque 4.25 effective,Mahalanobis,12.5
1,ferroportin-1 in humans,susz high-fashion building,Mahalanobis,12.5
1,ferroportin-1 in humans,støre gubernamentales humans,Mahalanobis,12.5
1,ferroportin-1 in humans,grozdeva vane sibley,Mahalanobis,12.5
1,ferroportin-1 in humans,nymphe mostro mangoma,Mahalanobis,12.5
1,ferroportin-1 in humans,torhan reported humans,Mahalanobis,12.5
1,ferroportin-1 in humans,muhammed in humans,Mahalanobis,12.5
1,ferroportin-1 in humans,1.5380 order mallam,Mahalanobis,12.5
