id,text,obfuscatedText,mechanism,epsilon
1,ferroportin-1 in humans,sopheng in humans,Mahalanobis,25
1,ferroportin-1 in humans,bozman http://www.ecb.int humans,Mahalanobis,25
1,ferroportin-1 in humans,overplayed in humans,Mahalanobis,25
1,ferroportin-1 in humans,lee in humans,Mahalanobis,25
1,ferroportin-1 in humans,starry in humans,Mahalanobis,25
1,ferroportin-1 in humans,lebaron in humans,Mahalanobis,25
1,ferroportin-1 in humans,woebegone in humans,Mahalanobis,25
1,ferroportin-1 in humans,cfz in humans,Mahalanobis,25
1,ferroportin-1 in humans,plentiful in humans,Mahalanobis,25
1,ferroportin-1 in humans,defend in humans,Mahalanobis,25
1,ferroportin-1 in humans,conditionalities in humans,Mahalanobis,25
1,ferroportin-1 in humans,peredelkino faranah humans,Mahalanobis,25
1,ferroportin-1 in humans,taibi sebeş humans,Mahalanobis,25
1,ferroportin-1 in humans,nasr in humans,Mahalanobis,25
1,ferroportin-1 in humans,unrecovered in humans,Mahalanobis,25
1,ferroportin-1 in humans,dreyfus in humans,Mahalanobis,25
1,ferroportin-1 in humans,scherpenzeel in humans,Mahalanobis,25
1,ferroportin-1 in humans,herridge in humans,Mahalanobis,25
1,ferroportin-1 in humans,boc in humans,Mahalanobis,25
1,ferroportin-1 in humans,echo in humans,Mahalanobis,25
1,ferroportin-1 in humans,lieko in humans,Mahalanobis,25
1,ferroportin-1 in humans,withnail in humans,Mahalanobis,25
1,ferroportin-1 in humans,dunan in humans,Mahalanobis,25
1,ferroportin-1 in humans,plaza in humans,Mahalanobis,25
1,ferroportin-1 in humans,herbert in humans,Mahalanobis,25
1,ferroportin-1 in humans,gracht respectively humans,Mahalanobis,25
1,ferroportin-1 in humans,taglines in humans,Mahalanobis,25
1,ferroportin-1 in humans,hangxiao in humans,Mahalanobis,25
1,ferroportin-1 in humans,ou 1888-89 humans,Mahalanobis,25
1,ferroportin-1 in humans,officer in humans,Mahalanobis,25
1,ferroportin-1 in humans,cramphorn in humans,Mahalanobis,25
1,ferroportin-1 in humans,juuko in humans,Mahalanobis,25
1,ferroportin-1 in humans,marathon in humans,Mahalanobis,25
1,ferroportin-1 in humans,maliqi in humans,Mahalanobis,25
1,ferroportin-1 in humans,palladin in humans,Mahalanobis,25
1,ferroportin-1 in humans,yegua in humans,Mahalanobis,25
1,ferroportin-1 in humans,surdo ever humans,Mahalanobis,25
1,ferroportin-1 in humans,portaging in humans,Mahalanobis,25
1,ferroportin-1 in humans,trapezes in humans,Mahalanobis,25
1,ferroportin-1 in humans,serano in humans,Mahalanobis,25
1,ferroportin-1 in humans,muhammed in humans,Mahalanobis,25
1,ferroportin-1 in humans,intonations in humans,Mahalanobis,25
1,ferroportin-1 in humans,enrolls in humans,Mahalanobis,25
1,ferroportin-1 in humans,p&le in humans,Mahalanobis,25
1,ferroportin-1 in humans,fall in humans,Mahalanobis,25
1,ferroportin-1 in humans,luxurious in humans,Mahalanobis,25
1,ferroportin-1 in humans,legco in humans,Mahalanobis,25
