id,text,obfuscatedText,mechanism,epsilon
1,ferroportin-1 in humans,f.o.b. azr eurodollar,VickreyCMP,1
1,ferroportin-1 in humans,ribosomal onufrienko pssas,VickreyCMP,1
1,ferroportin-1 in humans,ayp stoxx aliadiere,VickreyCMP,1
1,ferroportin-1 in humans,2000-2010 palestino jiarui,VickreyCMP,1
1,ferroportin-1 in humans,palaeographically kidsday maccabiah,VickreyCMP,1
1,ferroportin-1 in humans,pancevo shippen heras,VickreyCMP,1
1,ferroportin-1 in humans,pells 21278 mov,VickreyCMP,1
1,ferroportin-1 in humans,first-week caudex http://www.boston.com,VickreyCMP,1
1,ferroportin-1 in humans,khallid thur jl,VickreyCMP,1
1,ferroportin-1 in humans,subjunctive kyriakopoulos space,VickreyCMP,1
1,ferroportin-1 in humans,puncher humanos tah,VickreyCMP,1
1,ferroportin-1 in humans,heysel kathrin bicommunal,VickreyCMP,1
1,ferroportin-1 in humans,70.85 canoer transmittable,VickreyCMP,1
1,ferroportin-1 in humans,govpx (609) delaine,VickreyCMP,1
1,ferroportin-1 in humans,dienst hydrolase fredholm,VickreyCMP,1
1,ferroportin-1 in humans,nepticulidae saralayeva gostkowski,VickreyCMP,1
1,ferroportin-1 in humans,euna hieng footlick,VickreyCMP,1
1,ferroportin-1 in humans,drbombay economist liezel,VickreyCMP,1
1,ferroportin-1 in humans,all-day jumhuriya fachhochschule,VickreyCMP,1
1,ferroportin-1 in humans,transmittable genitive 299-seat,VickreyCMP,1
1,ferroportin-1 in humans,e.t.a. ibda devean,VickreyCMP,1
1,ferroportin-1 in humans,milanka mistrial madrean,VickreyCMP,1
1,ferroportin-1 in humans,rebounds basseterre annular,VickreyCMP,1
1,ferroportin-1 in humans,bq nytns emberizids,VickreyCMP,1
1,ferroportin-1 in humans,sandline exchange-traded incertae,VickreyCMP,1
1,ferroportin-1 in humans,maaf dehydrogenase chester-upland,VickreyCMP,1
1,ferroportin-1 in humans,salut all-sec iwendi,VickreyCMP,1
1,ferroportin-1 in humans,"780-page dharmala 654,000",VickreyCMP,1
1,ferroportin-1 in humans,balled list-a fukushiro,VickreyCMP,1
1,ferroportin-1 in humans,islambouli tuzmen wałcz,VickreyCMP,1
1,ferroportin-1 in humans,urata 1.3600 breakaway,VickreyCMP,1
1,ferroportin-1 in humans,unica razavi sea-birds,VickreyCMP,1
1,ferroportin-1 in humans,janjawid jlg non-permanent,VickreyCMP,1
1,ferroportin-1 in humans,23-july muhsin yunlong,VickreyCMP,1
1,ferroportin-1 in humans,jianchao 202-383-7824 burhinidae,VickreyCMP,1
1,ferroportin-1 in humans,"d'hondt unsalted 3,985",VickreyCMP,1
1,ferroportin-1 in humans,realtytrac synchrotron lukavica,VickreyCMP,1
1,ferroportin-1 in humans,rabies itemizing 24-degree,VickreyCMP,1
1,ferroportin-1 in humans,blankenhorn ancash quorum,VickreyCMP,1
1,ferroportin-1 in humans,tenaga boston.com inert,VickreyCMP,1
1,ferroportin-1 in humans,conservative-liberal teen finance,VickreyCMP,1
1,ferroportin-1 in humans,allatoona geopolitical (312),VickreyCMP,1
1,ferroportin-1 in humans,jiarui 8:30 dirani,VickreyCMP,1
1,ferroportin-1 in humans,1975-79 cents coni,VickreyCMP,1
1,ferroportin-1 in humans,schrenker universiade formannskapsdistrikt,VickreyCMP,1
1,ferroportin-1 in humans,vaguer zeer dlouhy,VickreyCMP,1
1,ferroportin-1 in humans,gwede patsi stoxx,VickreyCMP,1
1,ferroportin-1 in humans,excommunicates manezh hammudi,VickreyCMP,1
1,ferroportin-1 in humans,burhinidae untraded leg-break,VickreyCMP,1
1,ferroportin-1 in humans,nytimes.com eurobasket 40-megawatt,VickreyCMP,1
2,generating transgenic mice,paleographically f.o.b. uniao,VickreyCMP,1
2,generating transgenic mice,okasan 56-member 86.60,VickreyCMP,1
2,generating transgenic mice,baronetage ludendorff hydrolyse,VickreyCMP,1
2,generating transgenic mice,tuffah moth palaeographically,VickreyCMP,1
2,generating transgenic mice,trillionth hazratbal sergei,VickreyCMP,1
2,generating transgenic mice,baronetage highjump crites,VickreyCMP,1
2,generating transgenic mice,babar tamudo chester-upland,VickreyCMP,1
