id,text,obfuscatedText,mechanism,epsilon
1,ferroportin-1 in humans,sotra known theme,VickreyCMP,12.5
1,ferroportin-1 in humans,mujahidin applied approach,VickreyCMP,12.5
1,ferroportin-1 in humans,timmy in behaving,VickreyCMP,12.5
1,ferroportin-1 in humans,spies in humans,VickreyCMP,12.5
1,ferroportin-1 in humans,handler recent reproduction,VickreyCMP,12.5
1,ferroportin-1 in humans,winfield providing gibbins,VickreyCMP,12.5
1,ferroportin-1 in humans,muta in humans,VickreyCMP,12.5
1,ferroportin-1 in humans,mendeleyev prison grafton,VickreyCMP,12.5
1,ferroportin-1 in humans,khallid vietnam consumer,VickreyCMP,12.5
1,ferroportin-1 in humans,vereinsbank scheduled space,VickreyCMP,12.5
1,ferroportin-1 in humans,39-6 speech wiesbaden,VickreyCMP,12.5
1,ferroportin-1 in humans,effrontery australasia happier,VickreyCMP,12.5
1,ferroportin-1 in humans,berwick slip humans,VickreyCMP,12.5
1,ferroportin-1 in humans,bohumil in apes,VickreyCMP,12.5
1,ferroportin-1 in humans,twelve-round memorandum agriculturalists,VickreyCMP,12.5
1,ferroportin-1 in humans,cincinnati/northern huntington animals,VickreyCMP,12.5
1,ferroportin-1 in humans,coolness jun lives,VickreyCMP,12.5
1,ferroportin-1 in humans,dragados such causing,VickreyCMP,12.5
1,ferroportin-1 in humans,civile scheme inhabitants,VickreyCMP,12.5
1,ferroportin-1 in humans,hkmiami neptun florek,VickreyCMP,12.5
1,ferroportin-1 in humans,orlando 1998 humans,VickreyCMP,12.5
1,ferroportin-1 in humans,apds seven humans,VickreyCMP,12.5
1,ferroportin-1 in humans,"412,000 may humans",VickreyCMP,12.5
1,ferroportin-1 in humans,uchimura later isam,VickreyCMP,12.5
1,ferroportin-1 in humans,lecter retirement primates,VickreyCMP,12.5
1,ferroportin-1 in humans,haitang used harm,VickreyCMP,12.5
1,ferroportin-1 in humans,111 home vadtal,VickreyCMP,12.5
1,ferroportin-1 in humans,caligari burnt humans,VickreyCMP,12.5
1,ferroportin-1 in humans,osma allotment neanderthals,VickreyCMP,12.5
1,ferroportin-1 in humans,youzhou weston humans,VickreyCMP,12.5
1,ferroportin-1 in humans,reunited 76 abilities,VickreyCMP,12.5
1,ferroportin-1 in humans,panels elijah uninfected,VickreyCMP,12.5
1,ferroportin-1 in humans,haneya in bacteria,VickreyCMP,12.5
1,ferroportin-1 in humans,occupancy in mice,VickreyCMP,12.5
1,ferroportin-1 in humans,sensibly dispute beings,VickreyCMP,12.5
1,ferroportin-1 in humans,e9 pour animals,VickreyCMP,12.5
1,ferroportin-1 in humans,coaker algae chimps,VickreyCMP,12.5
1,ferroportin-1 in humans,rabies following aliens,VickreyCMP,12.5
1,ferroportin-1 in humans,leval pleasure infections,VickreyCMP,12.5
1,ferroportin-1 in humans,kenyans week animals,VickreyCMP,12.5
1,ferroportin-1 in humans,talker teen sending,VickreyCMP,12.5
1,ferroportin-1 in humans,ruapehu kosovo animals,VickreyCMP,12.5
1,ferroportin-1 in humans,364 in squeeze,VickreyCMP,12.5
1,ferroportin-1 in humans,3.76 in substances,VickreyCMP,12.5
1,ferroportin-1 in humans,deangelo universiade humans,VickreyCMP,12.5
1,ferroportin-1 in humans,gatornationals merkel mid-air,VickreyCMP,12.5
1,ferroportin-1 in humans,disagreements by unskilled,VickreyCMP,12.5
1,ferroportin-1 in humans,krafft shady mutation,VickreyCMP,12.5
1,ferroportin-1 in humans,dankner allowing beings,VickreyCMP,12.5
1,ferroportin-1 in humans,ghanim here snakes,VickreyCMP,12.5
2,generating transgenic mice,generate transgenic mutants,VickreyCMP,12.5
2,generating transgenic mice,"generating 1,171 rats",VickreyCMP,12.5
2,generating transgenic mice,16-27 lupo rat,VickreyCMP,12.5
2,generating transgenic mice,huge transgenic rabbits,VickreyCMP,12.5
2,generating transgenic mice,ataqatigiit sugary gene,VickreyCMP,12.5
2,generating transgenic mice,generate giannina timers,VickreyCMP,12.5
2,generating transgenic mice,farmers fertilized mice,VickreyCMP,12.5
2,generating transgenic mice,generates reared shockwave,VickreyCMP,12.5
2,generating transgenic mice,lleida transgenic muzzling,VickreyCMP,12.5
2,generating transgenic mice,majority bmk mouse,VickreyCMP,12.5
2,generating transgenic mice,bishvat transgenic rats,VickreyCMP,12.5
2,generating transgenic mice,generating transgenic mice,VickreyCMP,12.5
2,generating transgenic mice,generating gnat monkeys,VickreyCMP,12.5
2,generating transgenic mice,launder transgenic mice,VickreyCMP,12.5
2,generating transgenic mice,generating transgenic slipcase,VickreyCMP,12.5
2,generating transgenic mice,generate transgenic hares,VickreyCMP,12.5
2,generating transgenic mice,fsln boaventura nervous,VickreyCMP,12.5
2,generating transgenic mice,generating by-election livers,VickreyCMP,12.5
2,generating transgenic mice,piedras koala mice,VickreyCMP,12.5
2,generating transgenic mice,zambia transgenic rats,VickreyCMP,12.5
2,generating transgenic mice,expanding apiculture cloning,VickreyCMP,12.5
2,generating transgenic mice,64-qam transgenic mice,VickreyCMP,12.5
2,generating transgenic mice,baha'is transgenic mice,VickreyCMP,12.5
2,generating transgenic mice,generated mugwort dash,VickreyCMP,12.5
2,generating transgenic mice,generating canvas rabbits,VickreyCMP,12.5
2,generating transgenic mice,expectations big-screen mice,VickreyCMP,12.5
2,generating transgenic mice,stimulated weds austro-hungary,VickreyCMP,12.5
2,generating transgenic mice,generate specially-built mice,VickreyCMP,12.5
2,generating transgenic mice,demonstrate transgenic transmit,VickreyCMP,12.5
2,generating transgenic mice,generate chromosomes rats,VickreyCMP,12.5
2,generating transgenic mice,customers bloodaxe fonti,VickreyCMP,12.5
2,generating transgenic mice,idama nematodes billiard,VickreyCMP,12.5
2,generating transgenic mice,deducting joye beasts,VickreyCMP,12.5
2,generating transgenic mice,flowing landreth optical,VickreyCMP,12.5
2,generating transgenic mice,megaplumes domesticated mice,VickreyCMP,12.5
2,generating transgenic mice,immense toxicological peripheral,VickreyCMP,12.5
2,generating transgenic mice,generating swimsuits legs,VickreyCMP,12.5
2,generating transgenic mice,generating endgame clear-cut,VickreyCMP,12.5
