id,text,obfuscatedText,mechanism,epsilon
1,ferroportin-1 in humans,.22 villages spontaneously,VickreyMhl,12.5
1,ferroportin-1 in humans,supkem putsch wekt,VickreyMhl,12.5
1,ferroportin-1 in humans,contravariant skirmishes humans,VickreyMhl,12.5
1,ferroportin-1 in humans,dicicco ghazni 14.56,VickreyMhl,12.5
1,ferroportin-1 in humans,marha some part,VickreyMhl,12.5
1,ferroportin-1 in humans,unislamic paulo developed,VickreyMhl,12.5
1,ferroportin-1 in humans,"jingfu , fossilized",VickreyMhl,12.5
1,ferroportin-1 in humans,norms 1945 sinoussi,VickreyMhl,12.5
1,ferroportin-1 in humans,"missett 43,600 interactions",VickreyMhl,12.5
1,ferroportin-1 in humans,opération proconsular beings,VickreyMhl,12.5
1,ferroportin-1 in humans,moved capital yarber,VickreyMhl,12.5
1,ferroportin-1 in humans,topeka country laura,VickreyMhl,12.5
1,ferroportin-1 in humans,tevaram centre spasic,VickreyMhl,12.5
1,ferroportin-1 in humans,a350-900 jános eradicated,VickreyMhl,12.5
1,ferroportin-1 in humans,shepherds death chengyi,VickreyMhl,12.5
1,ferroportin-1 in humans,8-19 said civilizations,VickreyMhl,12.5
1,ferroportin-1 in humans,nazor where humans,VickreyMhl,12.5
1,ferroportin-1 in humans,lance asks reed,VickreyMhl,12.5
1,ferroportin-1 in humans,12-year linebackers warts,VickreyMhl,12.5
1,ferroportin-1 in humans,zealand-based nuremberg infect,VickreyMhl,12.5
1,ferroportin-1 in humans,kaggwa a sapiens,VickreyMhl,12.5
1,ferroportin-1 in humans,geneen north animals,VickreyMhl,12.5
1,ferroportin-1 in humans,paonta dna rallo,VickreyMhl,12.5
1,ferroportin-1 in humans,beattie voronoi dr.,VickreyMhl,12.5
1,ferroportin-1 in humans,tawton exclusivity humans,VickreyMhl,12.5
1,ferroportin-1 in humans,copal perugia bacteria,VickreyMhl,12.5
1,ferroportin-1 in humans,maglev twenty-20 otomo,VickreyMhl,12.5
1,ferroportin-1 in humans,"1071 , lloyd",VickreyMhl,12.5
1,ferroportin-1 in humans,godoy leaf beings,VickreyMhl,12.5
1,ferroportin-1 in humans,brawley krog --,VickreyMhl,12.5
1,ferroportin-1 in humans,41.6 lindstrom endurance,VickreyMhl,12.5
1,ferroportin-1 in humans,"gazidis blackcurrant 44,200",VickreyMhl,12.5
1,ferroportin-1 in humans,privada he evolve,VickreyMhl,12.5
1,ferroportin-1 in humans,steane hong jianxiang,VickreyMhl,12.5
1,ferroportin-1 in humans,sally brno-country knowlesi,VickreyMhl,12.5
1,ferroportin-1 in humans,errick co-ruler human,VickreyMhl,12.5
