id,text,obfuscatedText,mechanism,epsilon
1,ferroportin-1 in humans,.22 part somehow,VickreyMhl,30
1,ferroportin-1 in humans,personage where animals,VickreyMhl,30
1,ferroportin-1 in humans,llnl tahsh humans,VickreyMhl,30
1,ferroportin-1 in humans,langmann first beings,VickreyMhl,30
1,ferroportin-1 in humans,razov in animals,VickreyMhl,30
1,ferroportin-1 in humans,irreconcilably in animals,VickreyMhl,30
1,ferroportin-1 in humans,sgae in animals,VickreyMhl,30
1,ferroportin-1 in humans,purely in beings,VickreyMhl,30
1,ferroportin-1 in humans,keim greg.wilcoxdailynews.com beings,VickreyMhl,30
1,ferroportin-1 in humans,lindlar in beings,VickreyMhl,30
1,ferroportin-1 in humans,famous in beings,VickreyMhl,30
1,ferroportin-1 in humans,moines in indeed,VickreyMhl,30
1,ferroportin-1 in humans,pederastic the creatures,VickreyMhl,30
1,ferroportin-1 in humans,43a in humans,VickreyMhl,30
1,ferroportin-1 in humans,repudiation in humans,VickreyMhl,30
1,ferroportin-1 in humans,a.d.a.m. in beings,VickreyMhl,30
1,ferroportin-1 in humans,"3,881 in beings",VickreyMhl,30
1,ferroportin-1 in humans,tapestry does beings,VickreyMhl,30
1,ferroportin-1 in humans,82.5 example apes,VickreyMhl,30
1,ferroportin-1 in humans,katies 1998 beings,VickreyMhl,30
1,ferroportin-1 in humans,löwen first humans,VickreyMhl,30
1,ferroportin-1 in humans,"muestras , animals",VickreyMhl,30
1,ferroportin-1 in humans,doubters instance beings,VickreyMhl,30
1,ferroportin-1 in humans,excise adjacent animals,VickreyMhl,30
1,ferroportin-1 in humans,whitestrips part humans,VickreyMhl,30
1,ferroportin-1 in humans,#ukqaqsqf in humans,VickreyMhl,30
1,ferroportin-1 in humans,trochaic in beings,VickreyMhl,30
1,ferroportin-1 in humans,"euro585 , humans",VickreyMhl,30
1,ferroportin-1 in humans,nnp while humans,VickreyMhl,30
1,ferroportin-1 in humans,preservative found animals,VickreyMhl,30
1,ferroportin-1 in humans,p&r when animals,VickreyMhl,30
1,ferroportin-1 in humans,chlorophyta describing beings,VickreyMhl,30
1,ferroportin-1 in humans,geom in evolved,VickreyMhl,30
1,ferroportin-1 in humans,subplots in animals,VickreyMhl,30
1,ferroportin-1 in humans,sally beginning clone,VickreyMhl,30
1,ferroportin-1 in humans,apta where human,VickreyMhl,30
1,ferroportin-1 in humans,cuddy this animals,VickreyMhl,30
1,ferroportin-1 in humans,papier-mâché part beings,VickreyMhl,30
1,ferroportin-1 in humans,airs more humans,VickreyMhl,30
1,ferroportin-1 in humans,"sponsored , humans",VickreyMhl,30
1,ferroportin-1 in humans,m3/s notably mammals,VickreyMhl,30
1,ferroportin-1 in humans,zoas in beings,VickreyMhl,30
1,ferroportin-1 in humans,unmotivated . infect,VickreyMhl,30
1,ferroportin-1 in humans,isolates in humans,VickreyMhl,30
1,ferroportin-1 in humans,pisos in animals,VickreyMhl,30
1,ferroportin-1 in humans,blewbury critical humans,VickreyMhl,30
1,ferroportin-1 in humans,2gether this animals,VickreyMhl,30
1,ferroportin-1 in humans,boxer str94 apes,VickreyMhl,30
1,ferroportin-1 in humans,amenable first humans,VickreyMhl,30
1,ferroportin-1 in humans,yajun 1983 humans,VickreyMhl,30
2,generating transgenic mice,generating gahsh mice,VickreyMhl,30
2,generating transgenic mice,generate mice rats,VickreyMhl,30
2,generating transgenic mice,wcsh chimpanzees mice,VickreyMhl,30
2,generating transgenic mice,generating manufacture rats,VickreyMhl,30
2,generating transgenic mice,generating transgenic rats,VickreyMhl,30
2,generating transgenic mice,generate transgenic mice,VickreyMhl,30
2,generating transgenic mice,"generate 4,453 rodents",VickreyMhl,30
2,generating transgenic mice,generate commercialization rats,VickreyMhl,30
2,generating transgenic mice,generate transgenic rats,VickreyMhl,30
2,generating transgenic mice,generators genetically zebrafish,VickreyMhl,30
2,generating transgenic mice,generating transgenic rats,VickreyMhl,30
2,generating transgenic mice,generate patenting rats,VickreyMhl,30
2,generating transgenic mice,generates transgenic mice,VickreyMhl,30
2,generating transgenic mice,generate genetically rats,VickreyMhl,30
2,generating transgenic mice,generating transgenic mice,VickreyMhl,30
2,generating transgenic mice,generating four-hundred rats,VickreyMhl,30
2,generating transgenic mice,generated transgenic rats,VickreyMhl,30
2,generating transgenic mice,generator pigs rats,VickreyMhl,30
2,generating transgenic mice,generated bioengineered rats,VickreyMhl,30
2,generating transgenic mice,generate transgenic rats,VickreyMhl,30
2,generating transgenic mice,generated transgenic rodents,VickreyMhl,30
2,generating transgenic mice,generated transgenic gene,VickreyMhl,30
2,generating transgenic mice,generate tindill monkeys,VickreyMhl,30
2,generating transgenic mice,generates batting_bonds rats,VickreyMhl,30
2,generating transgenic mice,generate gmo rats,VickreyMhl,30
2,generating transgenic mice,generate cloned rats,VickreyMhl,30
2,generating transgenic mice,generating transgenic mice,VickreyMhl,30
2,generating transgenic mice,generate genetically rats,VickreyMhl,30
2,generating transgenic mice,generating genetically rodents,VickreyMhl,30
2,generating transgenic mice,generate piglets rats,VickreyMhl,30
2,generating transgenic mice,generate transgenic rats,VickreyMhl,30
2,generating transgenic mice,generates genetically rats,VickreyMhl,30
2,generating transgenic mice,generated grapevines rats,VickreyMhl,30
2,generating transgenic mice,generate al-qādir rats,VickreyMhl,30
2,generating transgenic mice,generating genetically rats,VickreyMhl,30
2,generating transgenic mice,generate hemp rats,VickreyMhl,30
2,generating transgenic mice,generate transgenic rats,VickreyMhl,30
2,generating transgenic mice,generate 203.7 rats,VickreyMhl,30
2,generating transgenic mice,generating crossbreeding rats,VickreyMhl,30
2,generating transgenic mice,generate preforms rats,VickreyMhl,30
2,generating transgenic mice,generating cloned rats,VickreyMhl,30
2,generating transgenic mice,generate transgenic mice,VickreyMhl,30
2,generating transgenic mice,generate cloned rats,VickreyMhl,30
2,generating transgenic mice,generate rečica rats,VickreyMhl,30
2,generating transgenic mice,generate fenric rats,VickreyMhl,30
2,generating transgenic mice,generating boydston ate,VickreyMhl,30
2,generating transgenic mice,generate transgenic rats,VickreyMhl,30
2,generating transgenic mice,generate cloned rats,VickreyMhl,30
2,generating transgenic mice,generating clones rats,VickreyMhl,30
2,generating transgenic mice,generate transgenic rats,VickreyMhl,30
3,time course for gene expression in mouse kidney,time guess but gene expressions where monkey liver,VickreyMhl,30
3,time course for gene expression in mouse kidney,once course best genes freedom recently mouse kidneys,VickreyMhl,30
3,time course for gene expression in mouse kidney,decided difficult while genes expressions interbk mouse liver,VickreyMhl,30
3,time course for gene expression in mouse kidney,time courses thousand genes expression early pals liver,VickreyMhl,30
3,time course for gene expression in mouse kidney,time she without genes expression month rat renal,VickreyMhl,30
3,time course for gene expression in mouse kidney,before course allowing genes describing in mouse liver,VickreyMhl,30
3,time course for gene expression in mouse kidney,having beginning for genes expression which mice liver,VickreyMhl,30
3,time course for gene expression in mouse kidney,"years course , genes example in mouse pancreas",VickreyMhl,30
3,time course for gene expression in mouse kidney,but course while gene expression in rats transplant,VickreyMhl,30
3,time course for gene expression in mouse kidney,", way long genes expressions early microcebus liver",VickreyMhl,30
3,time course for gene expression in mouse kidney,one thing for genes meaning again pointing liver,VickreyMhl,30
