id,text,obfuscatedText,epsilon,mechanism
1,Ferroportin-1 in humans,what is mirtazapine used for in humans,17.5,ContextualCMP
1,Ferroportin-1 in humans,what is human neutrophil antibody,17.5,ContextualCMP
1,Ferroportin-1 in humans,fma ingredients for a human,17.5,ContextualCMP
1,Ferroportin-1 in humans,tetrodotoxin effects on humans,17.5,ContextualCMP
1,Ferroportin-1 in humans,what is the fmr1 gene,17.5,ContextualCMP
1,Ferroportin-1 in humans,what is epa1 gene,17.5,ContextualCMP
1,Ferroportin-1 in humans,tetrodotoxin effects on humans,17.5,ContextualCMP
1,Ferroportin-1 in humans,what is ferrocon,17.5,ContextualCMP
1,Ferroportin-1 in humans,tetrodotoxin effects on humans,17.5,ContextualCMP
1,Ferroportin-1 in humans,what is this medicine for ferrous,17.5,ContextualCMP
1,Ferroportin-1 in humans,what is this medicine for ferrous,17.5,ContextualCMP
1,Ferroportin-1 in humans,tetrodotoxin effects on humans,17.5,ContextualCMP
1,Ferroportin-1 in humans,what is sucralfate used for in humans,17.5,ContextualCMP
1,Ferroportin-1 in humans,tetrodotoxin effects on humans,17.5,ContextualCMP
1,Ferroportin-1 in humans,what does genotype 1a,17.5,ContextualCMP
1,Ferroportin-1 in humans,what is human neutrophil antibody,17.5,ContextualCMP
1,Ferroportin-1 in humans,what is felodipine,17.5,ContextualCMP
1,Ferroportin-1 in humans,what is atorvastatin used for in humans,17.5,ContextualCMP
1,Ferroportin-1 in humans,what is amiodarone's action in human metabolism,17.5,ContextualCMP
1,Ferroportin-1 in humans,what is this medicine for ferrous,17.5,ContextualCMP
1,Ferroportin-1 in humans,FGFR1 gene definition,17.5,ContextualCMP
1,Ferroportin-1 in humans,what is ferritin in blood,17.5,ContextualCMP
1,Ferroportin-1 in humans,tetrodotoxin effects on humans,17.5,ContextualCMP
1,Ferroportin-1 in humans,what is atorvastatin used for in humans,17.5,ContextualCMP
1,Ferroportin-1 in humans,what is ferrocon,17.5,ContextualCMP
1,Ferroportin-1 in humans,what is the fmr1 gene,17.5,ContextualCMP
1,Ferroportin-1 in humans,who is onehealthport,17.5,ContextualCMP
1,Ferroportin-1 in humans,tetrodotoxin effects on humans,17.5,ContextualCMP
1,Ferroportin-1 in humans,what is mirtazapine used for in humans,17.5,ContextualCMP
1,Ferroportin-1 in humans,what is atorvastatin used for in humans,17.5,ContextualCMP
1,Ferroportin-1 in humans,what is atorvastatin used for in humans,17.5,ContextualCMP
1,Ferroportin-1 in humans,tetrodotoxin effects on humans,17.5,ContextualCMP
1,Ferroportin-1 in humans,tetrodotoxin effects on humans,17.5,ContextualCMP
1,Ferroportin-1 in humans,fma ingredients for a human,17.5,ContextualCMP
1,Ferroportin-1 in humans,what is the fmr1 gene,17.5,ContextualCMP
1,Ferroportin-1 in humans,what is atorvastatin used for in humans,17.5,ContextualCMP
1,Ferroportin-1 in humans,what is the fmr1 gene,17.5,ContextualCMP
1,Ferroportin-1 in humans,who is onehealthport,17.5,ContextualCMP
1,Ferroportin-1 in humans,what is amiodarone's action in human metabolism,17.5,ContextualCMP
1,Ferroportin-1 in humans,what is ferritin in blood,17.5,ContextualCMP
1,Ferroportin-1 in humans,what is ferrocon,17.5,ContextualCMP
1,Ferroportin-1 in humans,what is epa1 gene,17.5,ContextualCMP
1,Ferroportin-1 in humans,what is dexamethasone used for in humans,17.5,ContextualCMP
1,Ferroportin-1 in humans,what is amiodarone's action in human metabolism,17.5,ContextualCMP
1,Ferroportin-1 in humans,fma ingredients for a human,17.5,ContextualCMP
1,Ferroportin-1 in humans,what is mirtazapine used for in humans,17.5,ContextualCMP
1,Ferroportin-1 in humans,tetrodotoxin effects on humans,17.5,ContextualCMP
1,Ferroportin-1 in humans,what is mirtazapine used for in humans,17.5,ContextualCMP
1,Ferroportin-1 in humans,tetrodotoxin effects on humans,17.5,ContextualCMP
1,Ferroportin-1 in humans,fma ingredients for a human,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
10,NEIL1,callum neil,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,carcinogenic definition,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,what is carcinogenic,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,what initiates the process of carcinogenesis?,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,what initiates the process of carcinogenesis?,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,can carcinoid tumors come back,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,carcinogenic definition,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,carcinogenic definition,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,did mice or rats develop tumors for saxenda research,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,did mice or rats develop tumors for saxenda research,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,what initiates the process of carcinogenesis?,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,did mice or rats develop tumors for saxenda research,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,what initiates the process of carcinogenesis?,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,meaning of hairless,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,what initiates the process of carcinogenesis?,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,what is carcinogenic,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,what initiates the process of carcinogenesis?,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,what initiates the process of carcinogenesis?,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,what is carcinogenic,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,did mice or rats develop tumors for saxenda research,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,can carcinoid tumors come back,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,carcinogenic definition,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,meaning of hairless,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,carcinogenic definition,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,did mice or rats develop tumors for saxenda research,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,what is carcinogenic,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,what is carcinogenic,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,what initiates the process of carcinogenesis?,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,did mice or rats develop tumors for saxenda research,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,did mice or rats develop tumors for saxenda research,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,what initiates the process of carcinogenesis?,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,what is carcinogenic,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,carcinogenic definition,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,what initiates the process of carcinogenesis?,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,did mice or rats develop tumors for saxenda research,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,what is carcinogenic,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,carcinogenic definition,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,what is carcinogenic,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,what is dermal carcinogenicity,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,what initiates the process of carcinogenesis?,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,what initiates the process of carcinogenesis?,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,carcinoma meaning,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,what is carcinogenic,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,what initiates the process of carcinogenesis?,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,what initiates the process of carcinogenesis?,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,what is carcinogenic,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,what initiates the process of carcinogenesis?,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,is carcinoid always cancerous,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,carcinogenic definition,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,what initiates the process of carcinogenesis?,17.5,ContextualCMP
11,Carcinogenesis and hairless mice,did mice or rats develop tumors for saxenda research,17.5,ContextualCMP
12,Genes regulated by Smad4,the most common way for genes to be regulated is,17.5,ContextualCMP
12,Genes regulated by Smad4,the most common way for genes to be regulated is,17.5,ContextualCMP
12,Genes regulated by Smad4,what gene regulates other genes,17.5,ContextualCMP
12,Genes regulated by Smad4,what genes regulates lactase,17.5,ContextualCMP
12,Genes regulated by Smad4,what genes regulates lactase,17.5,ContextualCMP
12,Genes regulated by Smad4,what gene regulates other genes,17.5,ContextualCMP
12,Genes regulated by Smad4,what genes regulates lactase,17.5,ContextualCMP
12,Genes regulated by Smad4,what are coordinately controlled genes,17.5,ContextualCMP
12,Genes regulated by Smad4,what gene regulates other genes,17.5,ContextualCMP
12,Genes regulated by Smad4,what gene regulates other genes,17.5,ContextualCMP
12,Genes regulated by Smad4,the most common way for genes to be regulated is,17.5,ContextualCMP
12,Genes regulated by Smad4,what gene regulates other genes,17.5,ContextualCMP
12,Genes regulated by Smad4,what gene regulates other genes,17.5,ContextualCMP
12,Genes regulated by Smad4,what gene regulates other genes,17.5,ContextualCMP
12,Genes regulated by Smad4,the most common way for genes to be regulated is,17.5,ContextualCMP
12,Genes regulated by Smad4,what gene regulates other genes,17.5,ContextualCMP
12,Genes regulated by Smad4,the most common way for genes to be regulated is,17.5,ContextualCMP
12,Genes regulated by Smad4,what gene regulates other genes,17.5,ContextualCMP
12,Genes regulated by Smad4,what gene regulates other genes,17.5,ContextualCMP
12,Genes regulated by Smad4,what gene regulates other genes,17.5,ContextualCMP
12,Genes regulated by Smad4,hco3 is regulated by what,17.5,ContextualCMP
12,Genes regulated by Smad4,what gene regulates other genes,17.5,ContextualCMP
12,Genes regulated by Smad4,what gene regulates other genes,17.5,ContextualCMP
12,Genes regulated by Smad4,what gene regulates other genes,17.5,ContextualCMP
12,Genes regulated by Smad4,the most common way for genes to be regulated is,17.5,ContextualCMP
12,Genes regulated by Smad4,what gene regulates other genes,17.5,ContextualCMP
12,Genes regulated by Smad4,what gene regulates other genes,17.5,ContextualCMP
12,Genes regulated by Smad4,what gene regulates other genes,17.5,ContextualCMP
12,Genes regulated by Smad4,what genes regulates lactase,17.5,ContextualCMP
12,Genes regulated by Smad4,the most common way for genes to be regulated is,17.5,ContextualCMP
