id,text,obfuscatedText,epsilon,mechanism
1,Ferroportin-1 in humans,is one health under dignity health,5,ContextualCMP
1,Ferroportin-1 in humans,calculating k1 titration,5,ContextualCMP
1,Ferroportin-1 in humans,how long does a mortgage in principle take,5,ContextualCMP
1,Ferroportin-1 in humans,what prevents ach from accumulating in the neuromuscular junction,5,ContextualCMP
1,Ferroportin-1 in humans,what does 1321 mean,5,ContextualCMP
1,Ferroportin-1 in humans,what is mirtazapine used for in humans,5,ContextualCMP
1,Ferroportin-1 in humans,does furmoroside affect potassium,5,ContextualCMP
1,Ferroportin-1 in humans,human mouth,5,ContextualCMP
1,Ferroportin-1 in humans,what is f1b labradoodle,5,ContextualCMP
1,Ferroportin-1 in humans,what is a 527 organization,5,ContextualCMP
1,Ferroportin-1 in humans,safe way salary,5,ContextualCMP
1,Ferroportin-1 in humans,can betamethasone triamcinolone be given together injection,5,ContextualCMP
1,Ferroportin-1 in humans,who is onehealthport,5,ContextualCMP
1,Ferroportin-1 in humans,what factor is activated by proconvertin,5,ContextualCMP
1,Ferroportin-1 in humans,what is an 0791 smd component,5,ContextualCMP
1,Ferroportin-1 in humans,pyrenees disease in humans,5,ContextualCMP
1,Ferroportin-1 in humans,what that means adh dual in blood work,5,ContextualCMP
1,Ferroportin-1 in humans,what eap group is willie D,5,ContextualCMP
1,Ferroportin-1 in humans,what is tef,5,ContextualCMP
1,Ferroportin-1 in humans,what is iostream,5,ContextualCMP
1,Ferroportin-1 in humans,what is larreaRX used for,5,ContextualCMP
1,Ferroportin-1 in humans,who is onehealthport,5,ContextualCMP
1,Ferroportin-1 in humans,what is  irs levy hold,5,ContextualCMP
1,Ferroportin-1 in humans,who is that hot add girl,5,ContextualCMP
1,Ferroportin-1 in humans,what is a talin,5,ContextualCMP
1,Ferroportin-1 in humans,how can a small change in dna cause genetic disorders,5,ContextualCMP
1,Ferroportin-1 in humans,benign fibroadipose tissue yahoo,5,ContextualCMP
1,Ferroportin-1 in humans,tetrodotoxin effects on humans,5,ContextualCMP
1,Ferroportin-1 in humans,diovan treat what vessels,5,ContextualCMP
1,Ferroportin-1 in humans,why pmos device is used for body biasing in a switch,5,ContextualCMP
1,Ferroportin-1 in humans,did anyone try out for hamilton without knowing that lin man was already hamilton,5,ContextualCMP
1,Ferroportin-1 in humans,what is bacitracin used for ncbi,5,ContextualCMP
1,Ferroportin-1 in humans,lead can cause what in humans,5,ContextualCMP
1,Ferroportin-1 in humans,llium define in human body,5,ContextualCMP
1,Ferroportin-1 in humans,vitamin d deficiency in adults is called,5,ContextualCMP
1,Ferroportin-1 in humans,is fypon hazardous,5,ContextualCMP
1,Ferroportin-1 in humans,what does 99mtc do in the body,5,ContextualCMP
1,Ferroportin-1 in humans,is humana care source  part of kynect,5,ContextualCMP
1,Ferroportin-1 in humans,decreased right heart function,5,ContextualCMP
1,Ferroportin-1 in humans,most important role of hr manager,5,ContextualCMP
1,Ferroportin-1 in humans,capacity definition for ks1,5,ContextualCMP
1,Ferroportin-1 in humans,area of fepc molecule is,5,ContextualCMP
1,Ferroportin-1 in humans,morphine intramuscularly may produce,5,ContextualCMP
1,Ferroportin-1 in humans,dna f1 a class cost,5,ContextualCMP
1,Ferroportin-1 in humans,what is alzheimer's disease easy def,5,ContextualCMP
1,Ferroportin-1 in humans,dbrau agra,5,ContextualCMP
1,Ferroportin-1 in humans,what is inulin made from,5,ContextualCMP
1,Ferroportin-1 in humans,where was benoit mandelbrot,5,ContextualCMP
1,Ferroportin-1 in humans,what is eie11,5,ContextualCMP
1,Ferroportin-1 in humans,what is KN1 olant biology,5,ContextualCMP
10,NEIL1,what area is ST1,5,ContextualCMP
10,NEIL1,callum neil,5,ContextualCMP
10,NEIL1,callum neil,5,ContextualCMP
10,NEIL1,callum neil,5,ContextualCMP
10,NEIL1,callum neil,5,ContextualCMP
10,NEIL1,callum neil,5,ContextualCMP
10,NEIL1,what is sha1,5,ContextualCMP
10,NEIL1,callum neil,5,ContextualCMP
10,NEIL1,callum neil,5,ContextualCMP
10,NEIL1,what is shea olein,5,ContextualCMP
10,NEIL1,who plays neil caffrey,5,ContextualCMP
10,NEIL1,callum neil,5,ContextualCMP
10,NEIL1,callum neil,5,ContextualCMP
10,NEIL1,what does 1321 mean,5,ContextualCMP
10,NEIL1,what is sha1,5,ContextualCMP
10,NEIL1,callum neil,5,ContextualCMP
10,NEIL1,what goes into 36 and 1152,5,ContextualCMP
10,NEIL1,callum neil,5,ContextualCMP
10,NEIL1,what is no3,5,ContextualCMP
10,NEIL1,callum neil,5,ContextualCMP
10,NEIL1,callum neil,5,ContextualCMP
10,NEIL1,callum neil,5,ContextualCMP
10,NEIL1,callum neil,5,ContextualCMP
10,NEIL1,who is onehealthport,5,ContextualCMP
10,NEIL1,what area is 19121,5,ContextualCMP
10,NEIL1,who is onehealthport,5,ContextualCMP
10,NEIL1,what neigborhood is 19116,5,ContextualCMP
10,NEIL1,what is 1m3,5,ContextualCMP
10,NEIL1,callum neil,5,ContextualCMP
10,NEIL1,what does 1321 mean,5,ContextualCMP
10,NEIL1,where is 01462,5,ContextualCMP
10,NEIL1,callum neil,5,ContextualCMP
10,NEIL1,callum neil,5,ContextualCMP
10,NEIL1,what area is ST1,5,ContextualCMP
10,NEIL1,what is a 527 organization,5,ContextualCMP
10,NEIL1,callum neil,5,ContextualCMP
10,NEIL1,what mod is manyullyn in,5,ContextualCMP
10,NEIL1,callum neil,5,ContextualCMP
10,NEIL1,callum neil,5,ContextualCMP
10,NEIL1,what area is 19121,5,ContextualCMP
10,NEIL1,what is bentone SD1,5,ContextualCMP
10,NEIL1,callum neil,5,ContextualCMP
10,NEIL1,callum neil,5,ContextualCMP
10,NEIL1,what drug is l484,5,ContextualCMP
10,NEIL1,what is sha1,5,ContextualCMP
10,NEIL1,callum neil,5,ContextualCMP
10,NEIL1,what is sha1,5,ContextualCMP
10,NEIL1,what is cd1,5,ContextualCMP
10,NEIL1,callum neil,5,ContextualCMP
10,NEIL1,what is an is91 immigration,5,ContextualCMP
11,Carcinogenesis and hairless mice,what eap group is willie D,5,ContextualCMP
11,Carcinogenesis and hairless mice,who is frank gatson,5,ContextualCMP
11,Carcinogenesis and hairless mice,is fypon hazardous,5,ContextualCMP
11,Carcinogenesis and hairless mice,does the pigmented layer of the retina contain stratified squamous epithelium,5,ContextualCMP
11,Carcinogenesis and hairless mice,what is a pinning ceremony respiratory therapist,5,ContextualCMP
11,Carcinogenesis and hairless mice,is chelsea clinton hot,5,ContextualCMP
11,Carcinogenesis and hairless mice,autonation limited warranty,5,ContextualCMP
11,Carcinogenesis and hairless mice,did mice or rats develop tumors for saxenda research,5,ContextualCMP
11,Carcinogenesis and hairless mice,population teller ak,5,ContextualCMP
11,Carcinogenesis and hairless mice,what is distal caries,5,ContextualCMP
