id,text,obfuscatedText,epsilon,mechanism
1,Ferroportin-1 in humans,what is ferrocon,30,ContextualMhl
1,Ferroportin-1 in humans,what is this medicine for ferrous,30,ContextualMhl
1,Ferroportin-1 in humans,tetrodotoxin effects on humans,30,ContextualMhl
1,Ferroportin-1 in humans,what is ferrocon,30,ContextualMhl
1,Ferroportin-1 in humans,what is mirtazapine used for in humans,30,ContextualMhl
1,Ferroportin-1 in humans,tetrodotoxin effects on humans,30,ContextualMhl
1,Ferroportin-1 in humans,what is ferritin in blood,30,ContextualMhl
1,Ferroportin-1 in humans,what is human neutrophil antibody,30,ContextualMhl
1,Ferroportin-1 in humans,what is this medicine for ferrous,30,ContextualMhl
1,Ferroportin-1 in humans,what is ferritin in blood,30,ContextualMhl
1,Ferroportin-1 in humans,what is felodipine,30,ContextualMhl
1,Ferroportin-1 in humans,fma ingredients for a human,30,ContextualMhl
1,Ferroportin-1 in humans,what is ferrocon,30,ContextualMhl
1,Ferroportin-1 in humans,what is atorvastatin used for in humans,30,ContextualMhl
1,Ferroportin-1 in humans,what is ferritin in blood,30,ContextualMhl
1,Ferroportin-1 in humans,what is ferrocon,30,ContextualMhl
1,Ferroportin-1 in humans,what is ferrocon,30,ContextualMhl
1,Ferroportin-1 in humans,tetrodotoxin effects on humans,30,ContextualMhl
1,Ferroportin-1 in humans,fma ingredients for a human,30,ContextualMhl
1,Ferroportin-1 in humans,what is ferritin in blood,30,ContextualMhl
1,Ferroportin-1 in humans,what is ferrocon,30,ContextualMhl
1,Ferroportin-1 in humans,what is mirtazapine used for in humans,30,ContextualMhl
1,Ferroportin-1 in humans,tetrodotoxin effects on humans,30,ContextualMhl
1,Ferroportin-1 in humans,what is mirtazapine used for in humans,30,ContextualMhl
1,Ferroportin-1 in humans,what is fecr,30,ContextualMhl
1,Ferroportin-1 in humans,what is ferrocon,30,ContextualMhl
1,Ferroportin-1 in humans,fma ingredients for a human,30,ContextualMhl
1,Ferroportin-1 in humans,fma ingredients for a human,30,ContextualMhl
1,Ferroportin-1 in humans,fma ingredients for a human,30,ContextualMhl
1,Ferroportin-1 in humans,what is amiodarone's action in human metabolism,30,ContextualMhl
1,Ferroportin-1 in humans,what is this medicine for ferrous,30,ContextualMhl
1,Ferroportin-1 in humans,what is ferrocon,30,ContextualMhl
1,Ferroportin-1 in humans,what is ferrocon,30,ContextualMhl
1,Ferroportin-1 in humans,what is this medicine for ferrous,30,ContextualMhl
1,Ferroportin-1 in humans,what is ferritin in blood,30,ContextualMhl
1,Ferroportin-1 in humans,what is ferrocon,30,ContextualMhl
1,Ferroportin-1 in humans,is rennin is humans,30,ContextualMhl
1,Ferroportin-1 in humans,tetrodotoxin effects on humans,30,ContextualMhl
1,Ferroportin-1 in humans,what is ferritin in blood,30,ContextualMhl
1,Ferroportin-1 in humans,tetrodotoxin effects on humans,30,ContextualMhl
1,Ferroportin-1 in humans,area of fepc molecule is,30,ContextualMhl
1,Ferroportin-1 in humans,tetrodotoxin effects on humans,30,ContextualMhl
1,Ferroportin-1 in humans,what is amiodarone's action in human metabolism,30,ContextualMhl
1,Ferroportin-1 in humans,tetrodotoxin effects on humans,30,ContextualMhl
1,Ferroportin-1 in humans,where was ferrooxidans isolated from,30,ContextualMhl
1,Ferroportin-1 in humans,tetrodotoxin effects on humans,30,ContextualMhl
1,Ferroportin-1 in humans,what is ferrocon,30,ContextualMhl
1,Ferroportin-1 in humans,what is human chorionic gonadotropin,30,ContextualMhl
1,Ferroportin-1 in humans,tetrodotoxin effects on humans,30,ContextualMhl
1,Ferroportin-1 in humans,tetrodotoxin effects on humans,30,ContextualMhl
10,NEIL1,callum neil,30,ContextualMhl
10,NEIL1,callum neil,30,ContextualMhl
10,NEIL1,callum neil,30,ContextualMhl
10,NEIL1,callum neil,30,ContextualMhl
10,NEIL1,callum neil,30,ContextualMhl
10,NEIL1,callum neil,30,ContextualMhl
