id,text,obfuscatedText,mechanism,epsilon
1,Ferroportin-1 in humans,Ap in diagnostic,DPMLM,10
1,Ferroportin-1 in humans,Inflammatory in crafted,DPMLM,10
1,Ferroportin-1 in humans,Kevin in amp,DPMLM,10
1,Ferroportin-1 in humans,Amazon in historical,DPMLM,10
1,Ferroportin-1 in humans,Amate in firefighter,DPMLM,10
1,Ferroportin-1 in humans,Doc in asia,DPMLM,10
1,Ferroportin-1 in humans,Shock in placing,DPMLM,10
1,Ferroportin-1 in humans,Swedish in adulthood,DPMLM,10
1,Ferroportin-1 in humans,Consider in metrics,DPMLM,10
1,Ferroportin-1 in humans,Oding in structures,DPMLM,10
1,Ferroportin-1 in humans,Administrative in female,DPMLM,10
1,Ferroportin-1 in humans,Pel in ascent,DPMLM,10
1,Ferroportin-1 in humans,Ell in vand,DPMLM,10
1,Ferroportin-1 in humans,Here in 00007,DPMLM,10
1,Ferroportin-1 in humans,Peanuts in appetite,DPMLM,10
1,Ferroportin-1 in humans,Efficiency in expression,DPMLM,10
1,Ferroportin-1 in humans,Engineering in ori,DPMLM,10
1,Ferroportin-1 in humans,Mexican in cruise,DPMLM,10
1,Ferroportin-1 in humans,Actus in linger,DPMLM,10
1,Ferroportin-1 in humans,Chaos in spirits,DPMLM,10
1,Ferroportin-1 in humans,Dam in bihar,DPMLM,10
1,Ferroportin-1 in humans,Ring in manipulation,DPMLM,10
1,Ferroportin-1 in humans,Day in willie,DPMLM,10
1,Ferroportin-1 in humans,Prototype in australians,DPMLM,10
1,Ferroportin-1 in humans,Williams in occasional,DPMLM,10
1,Ferroportin-1 in humans,Tu in 2006,DPMLM,10
1,Ferroportin-1 in humans,() in locks,DPMLM,10
1,Ferroportin-1 in humans,Fraud in oubted,DPMLM,10
1,Ferroportin-1 in humans,Scientists in arrivals,DPMLM,10
1,Ferroportin-1 in humans,Of in munitions,DPMLM,10
1,Ferroportin-1 in humans,Fr in animals,DPMLM,10
1,Ferroportin-1 in humans,Sync in harvard,DPMLM,10
1,Ferroportin-1 in humans,Poisoned in passive,DPMLM,10
1,Ferroportin-1 in humans,Tta in corrosion,DPMLM,10
1,Ferroportin-1 in humans,Idan in relie,DPMLM,10
1,Ferroportin-1 in humans,Rest in larvae,DPMLM,10
1,Ferroportin-1 in humans,Boxed in tattoos,DPMLM,10
1,Ferroportin-1 in humans,Hunter in mars,DPMLM,10
1,Ferroportin-1 in humans,ッ in children,DPMLM,10
1,Ferroportin-1 in humans,Be in dirt,DPMLM,10
1,Ferroportin-1 in humans,Un in anas,DPMLM,10
